COUNTY DISTRICT DEM REP 
COUNTY DISTRICT DEM REP 
Apache 1 23605 11110 
Gila 1 4902 4427 
Graham 1 4436 10153 
Greenlee 1 1380 2226 
Maricopa 1 554 93 
Mohave 1 265 116 
Navajo 1 24205 26371 
Pima 1 32078 37473 
Pinal 1 43034 48324 
Yavapai 1 9168 9616 
Cochise 2 24288 34796 
Pima 2 185657 136179 
Maricopa 3 56986 40521 
Pima 3 80121 34808 
Pinal 3 139 10 
"Santa Cruz" 3 13493 5729 
Yuma 3 23504 14526 
Gila 4 4288 13501 
"La Paz" 4 2042 5063 
Maricopa 4 10982 23060 
Mohave 4 23394 76395 
Pinal 4 31579 57507 
Yavapai 4 38687 81887 
Yuma 4 9512 20589 
Maricopa 5 183171 262414 
Maricopa 6 199644 217783 
Maricopa 7 165452 50226 
Maricopa 8 170816 251633 
Maricopa 9 217094 135180 
