"COUNTY" "DISTRICT" "DEM" "Green" "No Party Preference" "REP"
COUNTY DISTRICT Democratic Green "No Party Preference" Republican
Alameda 13 260580 34257 NA NA
Alameda 15 157623 NA NA 56884
Alameda 17 38980 NA NA 13443
Alpine 4 420 NA NA 199
Amador 4 7206 NA NA 10285
Butte 1 48127 NA NA 41063
Calaveras 4 9006 NA NA 12518
Colusa 3 2411 NA NA 3277
"Contra Costa" 11 204369 NA NA 71312
"Contra Costa" 15 20366 NA NA 9056
"Contra Costa" 5 25940 NA 7352 NA
"Contra Costa" 9 39093 NA NA 25412
"Del Norte" 2 3920 NA NA 4339
"El Dorado" 4 41155 NA NA 48034
Fresno 16 39348 NA NA 19506
Fresno 21 19914 NA NA 20480
Fresno 22 69740 NA NA 76147
Fresno 4 1720 NA NA 5072
Glenn 1 194 NA NA 712
Glenn 3 2836 NA NA 4513
Humboldt 2 36466 NA NA 15622
Imperial 51 22112 NA NA 11225
Inyo 8 NA NA NA 6150
Kern 21 23988 NA NA 15196
Kern 23 55871 NA NA 106757
Kings 21 11566 NA NA 18725
Lake 3 5134 NA NA 3890
Lake 5 7570 NA 3621 NA
Lassen 1 2456 NA NA 6556
"Los Angeles" 23 11072 NA NA 12822
"Los Angeles" 25 108355 NA NA 86562
"Los Angeles" 26 2454 NA NA 1915
"Los Angeles" 27 190251 NA NA NA
"Los Angeles" 28 196662 NA NA 54272
"Los Angeles" 29 124697 NA NA 29995
"Los Angeles" 30 191006 NA NA 68991
"Los Angeles" 32 121759 NA NA 55272
"Los Angeles" 33 219091 NA NA 93769
"Los Angeles" 34 110195 41711 NA NA
"Los Angeles" 35 23107 NA NA 7455
"Los Angeles" 37 210555 NA NA 25823
"Los Angeles" 38 136198 NA NA 60381
"Los Angeles" 39 34356 NA NA 24725
"Los Angeles" 40 93938 27511 NA NA
"Los Angeles" 43 152272 NA NA 43780
"Los Angeles" 44 143322 NA NA NA
"Los Angeles" 47 97113 NA NA 37597
Madera 16 10835 NA NA 14470
Madera 4 4565 NA NA 8507
Marin 2 107005 NA NA 20700
Mariposa 4 3513 NA NA 4713
Mendocino 2 23839 NA NA 9240
Merced 16 32083 NA NA 26717
Modoc 1 1041 NA NA 2421
Mono 8 NA NA NA 3905
Monterey 20 90402 NA 23011 NA
Napa 5 41640 NA 12439 NA
Nevada 1 25572 NA NA 20718
Nevada 4 6094 NA NA 1849
Orange 38 2990 NA NA 2587
