"COUNTY" "DISTRICT" "DEM" "REP"
COUNTY DISTRICT Democratic Republican
Alameda 13 327863 34955
Alameda 15 213922 85702
Alameda 17 53654 22155
Alpine 4 473 264
Amador 4 8259 13833
Butte 1 51719 49828
Calaveras 4 10333 16563
Colusa 3 3348 4328
"Contra Costa" 11 271063 100293
"Contra Costa" 15 29069 14008
"Contra Costa" 5 37068 10966
"Contra Costa" 9 58693 39905
"Del Norte" 2 5103 6089
"El Dorado" 4 51597 63710
Fresno 16 62650 27989
Fresno 21 28344 30095
Fresno 22 95231 108340
Fresno 4 2048 6533
Glenn 1 220 811
Glenn 3 3784 6315
Humboldt 2 46089 20656
Imperial 51 34868 20087
Inyo 8 4559 4702
Kern 21 36653 26061
Kern 23 86586 154218
Kings 21 16611 26983
Lake 3 6659 5999
Lake 5 9260 6398
Lassen 1 3000 8892
"Los Angeles" 23 17381 18920
"Los Angeles" 25 138441 133066
"Los Angeles" 26 2805 2420
"Los Angeles" 27 211153 84398
"Los Angeles" 28 244271 91928
"Los Angeles" 29 210944 NA
"Los Angeles" 30 239321 104868
"Los Angeles" 32 172942 86818
"Los Angeles" 33 257094 123334
"Los Angeles" 34 205346 NA
"Los Angeles" 35 34740 12004
"Los Angeles" 37 254916 41705
"Los Angeles" 38 249591 NA
"Los Angeles" 39 45870 38682
"Los Angeles" 40 135572 50809
"Los Angeles" 43 199210 78688
"Los Angeles" 44 206036 NA
"Los Angeles" 47 129985 52151
Madera 16 16427 20273
Madera 4 5428 10692
Marin 2 124729 25363
Mariposa 4 4195 5906
Mendocino 2 29925 12806
Merced 16 49613 39777
Modoc 1 1290 3025
Mono 8 3969 2633
Monterey 20 122057 41291
Napa 5 52204 18472
Nevada 1 29658 24914
Nevada 4 7508 2495
Orange 38 6615 NA
Orange 39 105133 115034
Orange 45 221843 193096
Orange 46 157803 71716
Orange 47 67043 62220
Orange 48 193362 201738
Orange 49 44853 57423
Placer 1 11092 16830
Placer 4 92678 109379
Plumas 1 4737 6541
Riverside 36 185151 121698
Riverside 41 168126 94447
Riverside 42 157773 210274
Riverside 50 18903 23885
Sacramento 3 6708 8821
Sacramento 6 214776 75658
Sacramento 7 217416 166549
Sacramento 9 5256 7278
"San Benito" 20 18735 9412
"San Bernardino" 27 10258 11509
"San Bernardino" 31 175315 110735
"San Bernardino" 35 134665 62937
"San Bernardino" 39 18834 20230
"San Bernardino" 8 115872 151376
"San Diego" 49 160496 123734
"San Diego" 50 147966 171636
"San Diego" 51 130728 56754
"San Diego" 52 244145 152350
"San Diego" 53 334858 NA
"San Francisco" 12 362950 NA
"San Francisco" 13 0 0
"San Francisco" 14 39670 9179
"San Joaquin" 10 51362 40180
"San Joaquin" 9 110303 81175
"San Luis Obispo" 24 84608 73172
"San Mateo" 14 238630 63526
"San Mateo" 18 59967 NA
"Santa Barbara" 24 124584 74781
"Santa Clara" 17 158483 63044
"Santa Clara" 18 254738 NA
"Santa Clara" 19 224385 88642
"Santa Clara" 20 5158 1603
"Santa Cruz" 18 29434 NA
"Santa Cruz" 20 90946 19352
Shasta 1 31851 59983
Sierra 1 801 1129
Siskiyou 1 10198 13155
Solano 3 74688 57659
Solano 5 55271 15352
Sonoma 2 85568 26296
Sonoma 5 117430 34039
Stanislaus 10 115503 95449
Sutter 3 18333 23551
Tehama 1 9507 19082
Trinity 2 3021 3110
Tulare 21 2798 2789
Tulare 22 49020 62548
Tulare 23 11929 17084
Tuolumne 4 12212 17916
Ventura 24 3372 1828
Ventura 25 30864 36572
Ventura 26 206051 133457
Ventura 30 717 558
Yolo 3 51025 21512
Yolo 6 14872 7808
Yuba 3 11498 17760
