"COUNTY" "American Independent" "Brian Carroll" "Brock Pierce" "DEM" "Green" "Jesse Ventura" "Joseph Kishore" "Libertarian" "Mark Charles" "Peace and Freedom" "REP"
COUNTY "American Independent" "Brian Carroll" "Brock Pierce" BIDEN Green "Jesse Ventura" "Joseph Kishore" Libertarian "Mark Charles" "Peace and Freedom" TRUMP
Alameda 2399 127 8 617659 4664 29 17 6295 25 2538 136309
Alpine 0 0 0 476 4 0 0 15 0 2 244
Amador 64 1 0 8153 110 1 0 349 0 41 13585
Butte 324 15 3 50426 507 4 0 1774 2 281 48730
Calaveras 72 0 0 10046 125 0 0 359 0 44 16518
Colusa 30 0 0 3239 25 0 0 81 0 27 4559
"Contra Costa" 1949 57 3 416386 2618 10 2 6116 14 1284 152877
"Del Norte" 53 1 0 4677 78 0 0 150 0 33 6461
"El Dorado" 240 15 0 51621 460 5 0 1871 1 108 61838
Fresno 1147 64 2 193025 1474 10 0 4031 32 668 164464
Glenn 39 5 0 3995 34 0 0 128 0 33 7063
Humboldt 251 7 0 44768 625 2 0 1132 6 282 21770
Imperial 291 25 0 34678 234 0 0 390 0 278 20847
Inyo 32 1 0 4634 45 0 0 128 2 22 4620
Kern 1264 35 2 133366 1074 9 0 3942 20 1096 164484
Kings 180 0 1 18699 125 1 0 604 1 178 24072
Lake 89 2 2 14941 207 2 1 374 5 66 13123
Lassen 26 0 0 2799 31 2 0 141 0 18 8970
"Los Angeles" 15999 485 72 3028885 21660 208 30 35452 127 15917 1145530
Madera 173 8 0 23168 217 2 0 621 0 165 29378
Marin 380 11 3 128288 724 9 0 1536 6 261 24612
Mariposa 26 0 0 4088 39 0 0 155 0 22 5950
Mendocino 123 0 0 28782 394 3 0 591 1 179 13267
Merced 391 10 0 48991 388 3 0 941 0 433 39397
Modoc 13 2 0 1150 15 1 0 39 2 12 3109
Mono 25 0 0 4013 42 1 0 126 0 18 2513
Monterey 566 27 0 113953 749 6 2 1820 5 496 46299
Napa 241 22 2 49817 310 4 0 914 0 164 20676
Nevada 189 6 3 36359 345 1 0 919 2 147 26779
Orange 4642 297 12 814009 5819 30 5 17325 44 3432 676498
Placer 593 41 1 106869 779 10 0 3948 15 340 122488
Plumas 31 3 1 4561 39 0 0 153 0 27 6445
Riverside 3392 122 4 528340 3372 10 1 9970 12 2789 449144
Sacramento 2630 95 13 440808 3254 19 1 9770 22 2423 259405
"San Benito" 84 6 0 17628 91 1 0 345 2 83 10590
"San Bernardino" 3355 141 2 455859 3619 33 3 8791 20 3050 366257
"San Diego" 5302 275 16 964650 7421 49 30 21386 51 2869 600094
"San Francisco" 1262 48 7 378156 2781 18 5 3299 17 1543 56417
"San Joaquin" 1251 34 0 161137 1064 7 0 2929 8 964 121098
"San Luis Obispo" 455 22 0 88310 794 3 1 2408 7 278 67436
"San Mateo" 1145 59 3 291496 1595 12 2 3554 4 797 75584
"Santa Barbara" 714 35 0 129963 939 7 2 2416 7 520 65736
"Santa Clara" 2623 151 7 617967 4040 29 8 9131 24 2149 214612
"Santa Cruz" 434 17 4 114246 1062 9 3 1704 8 413 26937
Shasta 281 14 4 30000 368 6 0 1277 6 185 60789
Sierra 12 0 0 730 13 0 0 27 1 6 1142
Siskiyou 79 16 2 9593 116 1 0 318 3 54 13290
Solano 825 37 1 131639 958 4 1 2475 3 628 69306
Sonoma 832 32 1 199938 1499 15 1 3418 16 740 61825
Stanislaus 926 62 0 105841 742 9 0 2494 7 728 104145
Sutter 126 3 0 17367 136 1 0 521 0 115 24375
Tehama 111 7 0 8911 90 1 0 403 2 65 19141
Trinity 27 0 0 2851 50 1 0 117 0 25 3188
Tulare 632 46 1 66105 483 2 0 1498 4 535 77579
Tuolumne 91 4 0 11978 145 1 0 439 2 59 17689
Ventura 1278 84 5 251388 1766 17 5 5069 16 990 162207
Yolo 298 24 0 67598 547 2 1 1206 3 323 27292
Yuba 153 4 0 11230 124 1 0 510 4 94 17676
