"COUNTY" "DEM" "REP" "American Independent" "Green" "Libertarian" "Peace and Freedom" "Unknown" "Other" "NoParty"
COUNTY Democratic Republican "American Independent" Green Libertarian "Peace and Freedom" Unknown Other NoParty
Alameda 782172.0100035061 145156.98999649385 19331 5249 5745 3543 91 5521 0
Alpine 504.4191919191919 294.5808080808081 40 8 17 1 1 3 0
Amador 8931.33298636411 14856.667013635892 1141 101 381 72 34 88 0
Butte 57585.087243056645 57900.912756943355 4960 715 1660 512 491 969 0
Calaveras 10660.382295338817 18031.617704661185 1489 150 520 100 143 270 0
Colusa 4043.260687342833 5262.739312657167 312 20 121 44 0 4 0
"Contra Costa" 488755.6284767778 178098.3715232222 20406 2700 5529 2545 2809 2178 0
"Del Norte" 6313.380653950953 8329.619346049047 792 100 206 90 10 63 0
"El Dorado" 53857.737210184685 71927.26278981532 5675 639 2202 373 13 867 0
Fresno 254710.60261113115 210456.39738886885 16558 1462 4252 2542 2304 4197 0
Glenn 5204.949913644214 8199.050086355786 563 33 169 56 13 41 0
Humboldt 52021.97799563907 26617.022004360922 2797 1339 1045 420 425 518 0
Imperial 56125.91759294749 23652.082407052512 2201 229 566 633 903 366 0
Inyo 4698.7107182593645 5554.2892817406355 433 34 124 43 47 82 0
Kern 190856.55598296243 206154.44401703757 15674 1130 4539 2303 3902 1280 0
Kings 25685.067701566026 30667.932298433974 1981 147 644 275 420 280 0
Lake 19363.953397450932 15036.046602549066 1713 292 457 220 76 104 0
Lassen 3460.997753616677 10525.002246383323 868 51 207 60 13 67 0
"Los Angeles" 4141781.3368449854 1354347.6631550146 143054 22483 41081 35228 39687 35505 0
Madera 28784.52239230176 34677.477607698245 2428 191 667 388 424 349 0
Marin 137051.4555542631 30141.544445736887 4240 1023 1261 333 528 614 0
Mariposa 4241.441219649915 6785.558780350085 501 48 164 39 38 101 0
Mendocino 34698.248454487315 14839.751545512685 1945 803 648 294 362 107 0
Merced 66261.18242098986 44136.81757901014 4176 366 1068 670 154 342 0
Modoc 1387.3498513379584 3541.650148662042 288 20 56 23 5 17 0
Mono 4116.321945785369 3200.6780542146307 295 54 104 36 5 20 0
Monterey 140795.51349031233 54985.486509687675 5558 922 1614 908 1941 193 0
Napa 55200.55374441287 24373.446255587125 2773 460 908 298 528 304 0
Nevada 34724.68624139275 29064.313758607248 2817 620 960 223 39 5851 0
Orange 871537.8030494672 814608.1969505328 50404 5078 17899 5961 2257 4955 0
Placer 107072.77561452342 145274.22438547658 9595 889 4610 609 1288 1261 0
Plumas 4963.745189911275 7712.254810088725 666 55 172 46 10 30 0
Riverside 639473.2367983222 524584.7632016778 44128 3578 11757 6049 5660 6322 0
Sacramento 525637.4164286946 301118.5835713054 30487 3514 10120 5274 4942 3154 0
"San Benito" 21579.98772300019 11941.012276999809 1102 120 342 145 37 92 0
"San Bernardino" 593717.5629499173 432462.43705008266 42655 3437 10315 6782 6675 6643 0
"San Diego" 1084229.1831071386 746721.8168928613 66424 6814 20698 7777 9494 8387 0
"San Francisco" 452580.13020638213 48669.86979361789 8202 2659 2902 1605 4076 1077 0
"San Joaquin" 205967.65922083822 137069.34077916178 11974 1019 3414 2001 3352 1597 0
"San Luis Obispo" 88713.72578390404 82717.27421609596 6330 932 2201 509 794 1549 0
"San Mateo" 334575.54419401695 88377.45580598306 9802 1726 2952 1315 2172 2068 0
"Santa Barbara" 143099.10435292654 78115.89564707346 7071 1020 2161 856 1518 1357 0
"Santa Clara" 729431.0450223627 249165.9549776373 22686 3524 7822 3685 253 2742 0
"Santa Cruz" 130905.42716017705 31156.57283982295 4083 1314 1646 634 239 853 0
Shasta 32986.75708796216 70804.24291203784 4785 383 1417 410 93 364 0
Sierra 816.8 1225.2 128 15 34 1 1 40 0
Siskiyou 11451.952043911599 15405.047956088401 1424 168 397 143 186 65 0
Solano 165773.83388925588 77729.16611074413 8579 944 2468 1197 1017 1453 0
Sonoma 214539.20266908547 68814.79733091452 8324 2088 2996 930 1763 1385 0
Stanislaus 135823.49963732023 125523.50036267977 9584 746 2641 1271 1911 2144 0
Sutter 19340.17753020134 25852.82246979866 1931 122 566 210 318 3756 0
Tehama 11656.807088836213 22636.192911163787 1818 62 494 158 34 164 0
Trinity 3514.7391304347825 3834.2608695652175 403 82 133 57 98 82 0
Tulare 86274.28257450214 100011.71742549786 7270 534 2005 1002 1755 873 0
Tuolumne 12989.122851834649 19661.87714816535 1553 145 516 118 8 51 0
Ventura 278029.4317740615 190265.56822593845 14981 1721 4765 1757 3939 4984 0
Yolo 81014.49642971331 32295.503570286688 3535 582 1198 477 8 108 0
Yuba 14989.483366822951 21242.51663317705 1897 147 552 225 361 212 0
