COUNTY DISTRICT Berrios Bonner Bulger Bynzar Canova DEM Endriss Johnson Joli Koniz Murphy Pollard Purkis Rabinowitz REP Saldana
COUNTY DISTRICT Berrios Bonner Bulger Bynzar Canova DEM Endriss Johnson Joli Koniz Murphy Pollard Purkis Rabinowitz REP Saldana
Alachua 003 NA NA NA NA NA 70937 NA NA NA NA NA NA NA NA 43579 NA
Baker 005 NA NA NA NA NA 1966 NA NA NA NA NA NA NA NA 8448 NA
Bay 002 NA NA NA NA NA 15834 NA NA NA NA NA NA NA NA 47366 NA
Bradford 003 NA NA NA NA NA 2460 NA NA NA NA NA NA NA NA 7983 NA
Brevard 008 NA NA NA NA NA 112989 NA NA NA NA NA NA NA NA 167649 NA
Broward 020 NA 0 NA NA NA 147258 NA NA NA NA NA NA NA NA NA NA
Broward 022 NA NA NA NA NA 148675 NA NA NA NA NA NA NA NA 85579 NA
Broward 023 NA NA NA NA 12877 148833 1489 NA NA NA NA NA NA NA 89286 NA
Calhoun 002 NA NA NA NA NA 925 NA NA NA NA NA NA NA NA 3666 NA
Charlotte 017 NA NA NA NA NA 32617 NA NA NA NA NA NA NA NA 53387 NA
Citrus 011 NA NA NA NA NA 22380 NA NA NA NA NA NA NA NA 47839 10
Clay 003 NA NA NA NA NA 26019 NA NA NA NA NA NA NA NA 66733 NA
Collier 019 NA NA NA NA NA 27944 NA NA NA NA NA 1 NA NA 56431 NA
Collier 025 NA NA NA NA NA 27393 NA NA NA NA NA NA NA NA 42775 NA
Columbia 002 NA NA NA NA NA 5274 NA NA NA NA NA NA NA NA 16269 NA
Columbia 005 NA NA NA NA NA 1664 NA NA NA NA NA NA NA NA 1291 NA
Desoto 017 NA NA NA NA NA 3253 NA NA NA NA NA NA NA NA 5557 NA
Dixie 002 NA NA NA NA NA 989 NA NA NA NA NA NA NA NA 4750 NA
Duval 004 4558 NA 1421 NA NA 79205 NA NA NA 2 0 NA NA NA 141476 NA
Duval 005 NA NA NA NA NA 100459 NA NA NA NA NA NA NA NA 47548 NA
Escambia 001 NA NA NA NA NA 54734 NA NA NA NA NA NA NA NA 73752 NA
Flagler 006 NA NA NA NA NA 21635 NA NA NA NA NA NA NA NA 30583 NA
Franklin 002 NA NA NA NA NA 1805 NA NA NA NA NA NA NA NA 3589 NA
Gadsden 005 NA NA NA NA NA 14612 NA NA NA NA NA NA NA NA 5356 NA
Gilchrist 002 NA NA NA NA NA 1324 NA NA NA NA NA NA NA NA 5991 NA
Glades 017 NA NA NA NA NA 1184 NA NA NA NA NA NA NA NA 2598 NA
Gulf 002 NA NA NA NA NA 1458 NA NA NA NA NA NA NA NA 4411 NA
Hamilton 005 NA NA NA NA NA 1756 NA NA NA NA NA NA NA NA 2746 NA
Hardee 017 NA NA NA NA NA 1903 NA NA NA NA NA NA NA NA 4428 NA
Hendry 025 NA NA NA NA NA 3557 NA NA NA NA NA NA NA NA 5051 NA
Hernando 011 NA NA NA NA NA 30385 NA NA NA NA NA NA NA NA 49362 14
Highlands 017 NA NA NA NA NA 13299 NA NA NA NA NA NA NA NA 25913 NA
Hillsborough 012 NA NA NA NA NA 2425 NA NA NA NA NA NA 116 NA 4159 NA
Hillsborough 015 NA NA NA 0 NA 70108 NA 1 NA NA NA NA NA 3 71775 NA
Hillsborough 016 NA NA NA NA NA 40610 NA NA NA NA NA NA NA NA 44798 NA
Holmes 001 NA NA NA NA NA 494 NA NA NA NA NA NA NA NA 3828 NA
Holmes 002 NA NA NA NA NA 293 NA NA NA NA NA NA NA NA 2135 NA
"Indian River" 008 NA NA NA NA NA 27005 NA NA NA NA NA NA NA NA 46744 NA
Jackson 002 NA NA NA NA NA 4891 NA NA NA NA NA NA NA NA 10935 NA
Jefferson 002 NA NA NA NA NA 235 NA NA NA NA NA NA NA NA 432 NA
Jefferson 005 NA NA NA NA NA 3484 NA NA NA NA NA NA NA NA 3136 NA
Lafayette 002 NA NA NA NA NA 458 NA NA NA NA NA NA NA NA 2328 NA
Lake 006 NA NA NA NA NA 13737 NA NA NA NA NA NA NA NA 23484 NA
Lake 011 NA NA NA NA NA 25885 NA NA NA NA NA NA NA NA 46701 9
Lake 015 NA NA NA 0 NA 21227 NA 4 NA NA NA NA NA 0 22764 NA
Lee 017 NA NA NA NA NA 11735 NA NA NA NA NA NA NA NA 19500 NA
Lee 019 NA NA NA NA NA 100162 NA NA NA NA NA 35 NA NA 155034 NA
Leon 002 NA NA NA NA NA 36554 NA NA NA NA NA NA NA NA 31401 NA
Leon 005 NA NA NA NA NA 53130 NA NA NA NA NA NA NA NA 17173 NA
Levy 002 NA NA NA NA NA 4715 NA NA NA NA NA NA NA NA 12168 NA
Liberty 002 NA NA NA NA NA 580 NA NA NA NA NA NA NA NA 2077 NA
Madison 005 NA NA NA NA NA 3456 NA NA NA NA NA NA NA NA 4101 NA
Manatee 016 NA NA NA NA NA 67653 NA NA NA NA NA NA NA NA 95137 NA
Marion 002 NA NA NA NA NA 9183 NA NA NA NA NA NA NA NA 16712 NA
Marion 003 NA NA NA NA NA 21071 NA NA NA NA NA NA NA NA 34867 NA
Marion 011 NA NA NA NA NA 27198 NA NA NA NA NA NA NA NA 43862 17
Martin 018 NA NA NA NA NA 27694 NA NA NA NA NA NA NA NA 50235 NA
Miami-Dade 023 NA NA NA NA 820 12778 123 NA NA NA NA NA NA NA 10160 NA
Miami-Dade 025 NA NA NA NA NA 53223 NA NA NA NA NA NA NA NA 80846 NA
Miami-Dade 026 NA NA NA NA NA 103126 NA NA NA NA NA NA NA NA 96371 NA
Miami-Dade 027 NA NA NA NA NA 130743 NA NA 6255 NA NA NA NA NA 115588 NA
Monroe 026 NA NA NA NA NA 16671 NA NA NA NA NA NA NA NA 19307 NA
Nassau 004 551 NA 228 NA NA 9895 NA NA NA 0 0 NA NA NA 32571 NA
Okaloosa 001 NA NA NA NA NA 23694 NA NA NA NA NA NA NA NA 60222 NA
Okeechobee 017 NA NA NA NA NA 3415 NA NA NA NA NA NA NA NA 7665 NA
Orange 007 NA NA NA NA NA 76770 NA NA NA NA NA NA NA NA 42862 NA
Orange 008 NA NA NA NA NA 2421 NA NA NA NA NA NA NA NA 3719 NA
Orange 009 NA NA NA NA NA 46401 NA NA NA NA NA NA NA NA 25355 NA
Osceola 009 NA NA NA NA NA 71924 NA NA NA NA NA NA NA NA 41829 NA
"Palm Beach" 018 NA NA NA NA NA 66479 NA NA NA NA NA NA NA NA 74025 NA
"Palm Beach" 020 NA 165 NA NA NA 55401 NA NA NA NA NA NA NA NA NA NA
"Palm Beach" 022 NA NA NA NA NA 35959 NA NA NA NA NA NA NA NA 27470 NA
Pasco 012 NA NA NA NA NA 80624 NA NA NA NA NA NA 5206 NA 124959 NA
Pinellas 012 NA NA NA NA NA 49795 NA NA NA NA NA NA 2188 NA 65446 NA
Pinellas 013 NA NA NA NA NA 182717 NA NA NA NA NA NA NA NA 134254 NA
Polk 009 NA NA NA NA NA 53847 NA NA NA NA NA NA NA NA 57381 NA
Polk 015 NA NA NA 2 NA 42797 NA 10 NA NA NA NA NA 0 56841 NA
Polk 017 NA NA NA NA NA 11209 NA NA NA NA NA NA NA NA 17261 NA
Putnam 003 NA NA NA NA NA 8494 NA NA NA NA NA NA NA NA 19490 NA
"Santa Rosa" 001 NA NA NA NA NA 19948 NA NA NA NA NA NA NA NA 55526 NA
Sarasota 016 NA NA NA NA NA 56200 NA NA NA NA NA NA NA NA 57548 NA
Sarasota 017 NA NA NA NA NA 38579 NA NA NA NA NA NA NA NA 57017 NA
Seminole 007 NA NA NA NA NA 106343 NA NA NA NA NA NA NA NA 91423 NA
"St. Johns" 004 2046 NA 672 NA NA 34251 NA NA NA 0 0 NA NA NA 74373 NA
"St. Johns" 006 NA NA NA NA NA 6607 NA NA NA NA NA NA NA NA 11235 NA
"St. Lucie" 018 NA NA NA NA NA 62281 NA NA NA NA NA NA NA NA 61645 NA
Sumter 011 NA NA NA NA NA 22205 NA NA NA NA NA NA NA NA 51631 8
Suwannee 002 NA NA NA NA NA 3472 NA NA NA NA NA NA NA NA 12376 NA
Taylor 002 NA NA NA NA NA 1982 NA NA NA NA NA NA NA NA 5879 NA
Union 003 NA NA NA NA NA 899 NA NA NA NA NA NA NA NA 3964 NA
Volusia 006 NA NA NA NA NA 103779 NA NA NA NA NA NA NA NA 122589 NA
Wakulla 002 NA NA NA NA NA 4469 NA NA NA NA NA NA NA NA 9623 NA
Walton 001 NA NA NA NA NA 7329 NA NA NA NA NA NA NA NA 22861 NA
Washington 002 NA NA NA NA NA 1792 NA NA NA NA NA NA NA NA 7227 NA
