COUNTY DISTRICT Blass Caravetta Curnow DEM Fugate Grayson Hill Knepper Koniz Nolan NPA O'Connor Olson Polo Post REP Rivera Yasmine
COUNTY DISTRICT Blass Caravetta Curnow DEM Fugate Grayson Hill Knepper Koniz Nolan NPA O'Connor Olson Polo Post REP Rivera Yasmine
Alachua 003 NA NA NA 86857 NA NA NA NA NA NA NA NA NA NA NA 52914 NA NA
Baker 005 NA NA NA 2476 NA NA NA NA NA NA NA NA NA NA NA 11329 NA NA
Bay 002 NA NA NA NA NA NA NA NA NA NA NA 1366 NA NA NA 76997 NA NA
Bradford 003 NA NA NA 3302 NA NA NA NA NA NA NA NA NA NA NA 9965 NA NA
Brevard 008 NA NA NA 139769 NA NA NA NA NA NA NA NA NA NA NA 215686 NA NA
Broward 020 NA NA NA 186909 NA NA NA NA NA NA NA NA NA NA NA 41803 NA NA
Broward 022 NA NA NA 192923 NA NA NA NA NA NA NA NA NA NA NA 128851 NA NA
Broward 023 NA NA NA 203940 33 NA NA NA NA NA NA NA 42 NA NA 141886 NA NA
Broward 024 NA NA NA 24817 NA NA NA 3 NA NA 1632 NA NA NA NA 10079 0 NA
Calhoun 002 NA NA NA NA NA NA NA NA NA NA NA 15 NA NA NA 5662 NA NA
Charlotte 017 NA NA NA 38633 NA NA NA NA NA NA 1531 NA NA NA NA 73809 NA NA
Citrus 011 NA NA NA 26816 NA NA NA NA NA NA NA NA NA NA NA 64293 NA NA
Clay 003 NA NA NA 38040 NA NA NA NA NA NA NA NA NA NA NA 84221 NA NA
Collier 019 NA NA NA 36612 NA NA NA NA NA NA NA NA NA NA 1 69227 NA NA
Columbia 002 NA NA NA NA NA NA NA NA NA NA NA 268 NA NA NA 24293 NA NA
Columbia 005 NA NA NA 2033 NA NA NA NA NA NA NA NA NA NA NA 1758 NA NA
Desoto 017 NA NA NA 4050 NA NA NA NA NA NA 136 NA NA NA NA 8171 NA NA
Dixie 002 NA NA NA NA NA NA NA NA NA NA NA 41 NA NA NA 6993 NA NA
Duval 004 NA NA NA 125498 NA NA NA NA 17 NA NA NA NA NA NA 169852 NA NA
Duval 005 NA NA NA 127311 NA NA NA NA NA NA NA NA NA NA NA 63193 NA NA
Escambia 001 NA NA NA 73582 NA NA NA NA NA NA 2268 NA NA NA NA 93078 NA NA
Flagler 006 NA NA NA 26257 NA 10 NA NA NA 4 NA NA NA NA NA 43346 NA NA
Franklin 002 NA NA NA NA NA NA NA NA NA NA NA 136 NA NA NA 5220 NA NA
Gadsden 005 NA NA NA 16783 NA NA NA NA NA NA NA NA NA NA NA 6875 NA NA
Gilchrist 002 NA NA NA NA NA NA NA NA NA NA NA 76 NA NA NA 8484 NA NA
Glades 017 NA NA NA 1319 NA NA NA NA NA NA 73 NA NA NA NA 3685 NA NA
Gulf 002 NA NA NA NA NA NA NA NA NA NA NA 74 NA NA NA 6806 NA NA
Hamilton 005 NA NA NA 2133 NA NA NA NA NA NA NA NA NA NA NA 3579 NA NA
Hardee 017 NA NA NA 2422 NA NA NA NA NA NA 134 NA NA NA NA 5771 NA NA
Hernando 011 NA NA NA 37530 NA NA NA NA NA NA NA NA NA NA NA 68885 NA NA
Highlands 017 NA NA NA 15807 NA NA NA NA NA NA 586 NA NA NA NA 34540 NA NA
Hillsborough 012 NA NA NA 3199 NA NA NA NA NA NA NA NA NA NA NA 5558 NA NA
Hillsborough 014 NA NA NA 224240 NA NA NA NA NA NA NA NA NA NA NA 147896 NA NA
Hillsborough 015 NA NA NA 89768 NA NA NA NA NA NA NA NA NA NA NA 99886 NA NA
Hillsborough 016 NA NA NA 61511 NA NA NA NA NA NA NA NA NA NA NA 66515 NA NA
Holmes 001 NA NA NA 587 NA NA NA NA NA NA 89 NA NA NA NA 4992 NA NA
Holmes 002 NA NA NA NA NA NA NA NA NA NA NA 17 NA NA NA 2968 NA NA
"Indian River" 008 NA NA NA 34585 NA NA NA NA NA NA NA NA NA NA NA 61055 NA NA
Jackson 002 NA NA NA NA NA NA NA NA NA NA NA 141 NA NA NA 18262 NA NA
Jefferson 002 NA NA NA NA NA NA NA NA NA NA NA 11 NA NA NA 586 NA NA
Jefferson 005 NA NA NA 3800 NA NA NA NA NA NA NA NA NA NA NA 3841 NA NA
Lafayette 002 NA NA NA NA NA NA NA NA NA NA NA 20 NA NA NA 3307 NA NA
Lake 006 NA NA NA 16386 NA 4 NA NA NA 16 NA NA NA NA NA 32302 NA NA
Lake 011 NA NA NA 32956 NA NA NA NA NA NA NA NA NA NA NA 61012 NA NA
Lake 015 NA NA NA 29611 NA NA NA NA NA NA NA NA NA NA NA 34194 NA NA
Lee 017 NA NA NA 14733 NA NA NA NA NA NA 678 NA NA NA NA 27620 NA NA
Lee 019 NA NA NA 135534 NA NA NA NA NA NA NA NA NA NA 2 203213 NA NA
Leon 002 NA NA NA NA NA NA NA NA NA NA NA 3369 NA NA NA 47294 NA NA
Leon 005 NA NA NA 60937 NA NA NA NA NA NA NA NA NA NA NA 21674 NA NA
Levy 002 NA NA NA NA NA NA NA NA NA NA NA 183 NA NA NA 18959 NA NA
Liberty 002 NA NA NA NA NA NA NA NA NA NA NA 11 NA NA NA 2973 NA NA
Madison 005 NA NA NA 3990 NA NA NA NA NA NA NA NA NA NA NA 5261 NA NA
Manatee 016 NA NA NA 86698 NA NA NA NA NA NA NA NA NA NA NA 128072 NA NA
Marion 002 NA NA NA NA NA NA NA NA NA NA NA 379 NA NA NA 24888 NA NA
Marion 003 NA NA NA 27141 NA NA NA NA NA NA NA NA NA NA NA 46097 NA NA
Marion 011 NA NA NA 33999 NA NA NA NA NA NA NA NA NA NA NA 58948 NA NA
Martin 018 NA NA NA 31205 NA NA NA NA NA NA 1991 NA NA NA NA 64874 NA NA
Miami-Dade 023 NA NA NA 17299 4 NA NA NA NA NA NA NA 4 NA NA 16988 NA NA
Miami-Dade 024 NA NA NA 194008 NA NA NA 14 NA NA 10071 NA NA NA NA 49005 9 NA
Miami-Dade 026 NA NA NA 144010 NA NA NA NA NA NA NA NA NA NA NA 151669 NA NA
Miami-Dade 027 NA NA NA 166758 NA NA NA NA NA NA NA NA NA 76 NA 176141 NA NA
Monroe 026 NA NA NA 21397 NA NA NA NA NA NA NA NA NA NA NA 25554 NA NA
Nassau 004 NA NA NA 16225 NA NA NA NA 0 NA NA NA NA NA NA 42045 NA NA
Okaloosa 001 NA NA NA 34966 NA NA NA NA NA NA 1877 NA NA NA NA 78035 NA NA
Okeechobee 017 NA NA NA 4129 NA NA NA NA NA NA 278 NA NA NA NA 11082 NA NA
Orange 007 NA NA NA 92639 NA NA NA NA NA NA 2242 NA NA NA NA 56280 NA NA
Orange 008 NA NA NA 3341 NA NA NA NA NA NA NA NA NA NA NA 5352 NA NA
Orange 009 NA NA NA 62032 NA NA 6 NA NA NA NA NA NA NA NA 38365 NA NA
Orange 010 NA NA NA 239434 NA NA NA NA NA NA NA NA NA NA NA 136889 NA 74
Osceola 009 NA NA NA 103147 NA NA 15 NA NA NA NA NA NA NA NA 65756 NA NA
"Palm Beach" 018 NA NA NA 77238 NA NA NA NA NA NA 3769 NA NA NA NA 99734 NA NA
"Palm Beach" 020 NA NA NA 66752 NA NA NA NA NA NA NA NA NA NA NA 26945 NA NA
"Palm Beach" 021 4 8 NA 237925 NA NA NA NA NA NA 7544 NA NA NA NA 157612 NA NA
"Palm Beach" 022 NA NA NA 42841 NA NA NA NA NA NA NA NA NA NA NA 37702 NA NA
Pasco 012 NA NA NA 108659 NA NA NA NA NA NA NA NA NA NA NA 188887 NA NA
Pinellas 012 NA NA NA 56336 NA NA NA NA NA NA NA NA NA NA NA 90496 NA NA
Pinellas 013 NA NA 7 215405 NA NA NA NA NA NA NA NA NA NA NA 190713 NA NA
Polk 009 NA NA NA 75545 NA NA 4 NA NA NA NA NA NA NA NA 84768 NA NA
Polk 015 NA NA NA 54918 NA NA NA NA NA NA NA NA NA NA NA 82294 NA NA
Polk 017 NA NA NA 13751 NA NA NA NA NA NA 672 NA NA NA NA 24504 NA NA
Putnam 003 NA NA NA 10835 NA NA NA NA NA NA NA NA NA NA NA 24916 NA NA
"Santa Rosa" 001 NA NA NA 29483 NA NA NA NA NA NA 1380 NA NA NA NA 75075 NA NA
Sarasota 016 NA NA NA 67474 NA NA NA NA NA NA NA NA NA NA NA 74414 NA NA
Sarasota 017 NA NA NA 45643 NA NA NA NA NA NA 1308 NA NA NA NA 77332 NA NA
Seminole 007 NA NA NA 132307 NA NA NA NA NA NA 3511 NA NA NA NA 119470 NA NA
"St. Johns" 004 NA NA NA 54700 NA NA NA NA 3 NA NA NA NA NA NA 96600 NA NA
"St. Johns" 006 NA NA NA 7717 NA 1 NA NA NA 2 NA NA NA NA NA 14851 NA NA
