COUNTY REP DEM LIB
COUNTY Trump Biden Jorgensen
Appling 6526 1779 36
Atkinson 2300 825 30
Bacon 4018 625 25
Baker 897 652 6
Baldwin 8903 9140 208
Banks 7795 932 74
Barrow 26804 10453 664
Bartow 37674 12092 701
"Ben Hill" 4110 2392 58
Berrien 6419 1269 55
Bibb 26585 43468 749
Bleckley 4328 1311 67
Brantley 6991 699 56
Brooks 4260 2790 50
Bryan 14244 6739 357
Bulloch 18386 11243 455
Burke 5400 5209 75
Butts 8406 3274 91
Calhoun 923 1260 11
Camden 15251 7967 470
Candler 3133 1269 29
Carroll 37476 16238 760
Catoosa 25167 6932 494
Charlton 3419 1103 44
Chatham 53237 78254 1929
Chattahoochee 880 667 35
Chattooga 8064 1854 132
Cherokee 99587 42794 2449
Clarke 14446 36048 839
Clay 637 790 7
Clayton 15813 95476 1055
Clinch 2105 747 12
Cobb 165459 221846 6441
Coffee 10578 4511 125
Colquitt 11777 4187 119
Columbia 50013 29236 1330
Cook 4900 2059 76
Coweta 51501 24210 1088
Crawford 4428 1615 59
Crisp 4987 2986 66
Dade 6066 1261 107
Dawson 13398 2486 197
Decatur 6758 4780 89
DeKalb 58373 308227 4204
Dodge 5843 2171 56
Dooly 2159 1911 35
Dougherty 10454 24577 280
Douglas 25451 42809 837
Early 2722 2437 28
Echols 1256 167 18
Effingham 23358 7720 492
Elbert 6226 2879 66
Emanuel 6551 2884 66
Evans 2888 1324 35
Fannin 12169 2571 110
Fayette 37952 33065 976
Floyd 29123 12008 517
Forsyth 85122 42203 1980
Franklin 9069 1593 103
Fulton 137240 381144 6275
Gilmer 13429 2932 164
Glascock 1403 155 8
Glynn 25616 15879 489
Gordon 19405 4384 244
Grady 7034 3619 54
Greene 7068 4088 91
Gwinnett 166413 241827 5625
Habersham 16637 3563 232
Hall 64170 25031 1322
Hancock 1159 2985 21
Haralson 12331 1792 125
Harris 14319 5457 215
Hart 9464 3157 106
Heard 4516 824 51
Henry 48187 73276 1279
Houston 41534 32232 1057
Irwin 3134 1008 26
Jackson 29497 7642 531
Jasper 5822 1761 61
"Jeff Davis" 4695 1028 48
Jefferson 3537 4061 44
Jenkins 2161 1266 28
Johnson 2850 1222 28
Jones 9965 4888 113
Lamar 6330 2615 94
Lanier 2509 1019 48
Laurens 14493 8073 163
Lee 12007 4558 149
Liberty 7959 13099 331
Lincoln 3179 1435 36
Long 3528 2033 95
Lowndes 25691 20117 547
Lumpkin 12163 3126 242
Macon 1783 2857 22
Madison 11326 3411 200
Marion 2275 1311 38
McDuffie 6169 4168 118
McIntosh 4016 2612 68
Meriwether 6524 4287 66
Miller 2066 749 20
Mitchell 4935 3995 33
Monroe 11060 4384 148
Montgomery 2960 979 27
Morgan 8230 3355 122
Murray 12943 2302 144
Muscogee 30049 49529 965
Newton 23869 29794 576
Oconee 16595 8162 411
Oglethorpe 5593 2436 102
Paulding 54525 29704 1156
Peach 6502 5920 123
Pickens 14075 2808 233
Pierce 7899 1100 49
Pike 9127 1505 88
Polk 13589 3658 152
Pulaski 2805 1217 37
Putnam 8291 3448 116
Quitman 604 497 5
Rabun 7474 1984 110
Randolph 1391 1671 12
Richmond 26781 59124 1111
Rockdale 13012 31244 430
Schley 1800 462 13
Screven 3916 2661 51
Seminole 2611 1254 19
Spalding 18057 11784 275
Stephens 9368 2385 132
Stewart 801 1182 7
Sumter 5732 6318 100
Talbot 1392 2114 16
Taliaferro 360 561 7
Tattnall 6053 2061 69
Taylor 2418 1387 34
Telfair 2825 1487 21
Terrell 2004 2376 36
Thomas 12954 8708 191
Tift 10784 5322 177
Toombs 7872 2939 103
Towns 6384 1550 45
Treutlen 2101 952 24
Troup 18143 11578 328
Turner 2349 1410 33
Twiggs 2370 2044 30
Union 12651 2801 108
Upson 8608 4201 96
Walker 23174 5769 411
Walton 37842 12682 571
Ware 9865 4211 116
Warren 1166 1469 16
Washington 4663 4730 66
Wayne 9987 2687 104
Webster 748 639 3
Wheeler 1583 689 13
White 12222 2411 183
Whitfield 25636 10670 440
Wilcox 2403 862 16
Wilkes 2823 2160 46
Wilkinson 2664 2075 31
Worth 6830 2395 60
Total: 2461837 2474507 62138
