COUNTY REP DEM LIB
COUNTY Perdue Ossoff Hazel
Appling 6306 1753 128
Atkinson 2272 773 52
Bacon 3929 591 70
Baker 873 648 13
Baldwin 8873 8783 426
Banks 7636 899 190
Barrow 26317 10066 1193
Bartow 37009 11664 1361
"Ben Hill" 4077 2284 116
Berrien 6286 1204 160
Bibb 26645 41928 1414
Bleckley 4281 1249 114
Brantley 6812 688 116
Brooks 4250 2607 119
Bryan 14067 6497 599
Bulloch 18232 10846 715
Burke 5407 4989 164
Butts 8329 3129 215
Calhoun 933 1211 28
Camden 14987 7467 895
Candler 3077 1233 60
Carroll 36997 15549 1427
Catoosa 24571 6599 1004
Charlton 3357 1016 104
Chatham 52988 75873 2986
Chattahoochee 850 636 60
Chattooga 7777 1886 275
Cherokee 99384 39928 4214
Clarke 15078 34549 1323
Clay 647 748 21
Clayton 14841 93699 2505
Clinch 2083 660 54
Cobb 169658 210851 10263
Coffee 10424 4281 286
Colquitt 11644 3990 257
Columbia 50220 27759 1928
Cook 4864 1963 145
Coweta 51299 22915 1908
Crawford 4330 1561 135
Crisp 5054 2809 105
Dade 5871 1253 208
Dawson 13217 2289 418
Decatur 6696 4563 190
DeKalb 61859 298479 7305
Dodge 5793 2021 138
Dooly 2158 1826 75
Dougherty 10588 23821 502
Douglas 25002 41796 1643
Early 2796 2232 77
Echols 1232 162 24
Effingham 22832 7627 828
Elbert 6225 2717 133
Emanuel 6513 2720 135
Evans 2876 1251 64
Fannin 11972 2415 299
Fayette 38403 31477 1590
Floyd 28752 11480 1056
Forsyth 85652 39229 3386
Franklin 8993 1465 187
Fulton 146466 363269 11043
Gilmer 13206 2715 386
Glascock 1366 150 24
Glynn 25560 14938 970
Gordon 19011 4182 573
Grady 6969 3465 146
Greene 7247 3763 152
Gwinnett 166754 233551 10901
Habersham 16385 3340 534
Hall 63833 23487 2467
Hancock 1173 2858 66
Haralson 12016 1764 336
Harris 14279 5192 383
Hart 9377 2937 218
Heard 4413 802 113
Henry 47486 71592 2631
Houston 41428 30955 1779
Irwin 3095 982 67
Jackson 29166 7262 955
Jasper 5751 1690 151
"Jeff Davis" 4574 1013 111
Jefferson 3539 3913 102
Jenkins 2155 1194 51
Johnson 2801 1158 75
Jones 9854 4687 301
Lamar 6280 2511 197
Lanier 2481 944 94
Laurens 14363 7698 413
Lee 11862 4424 273
Liberty 7743 12738 610
Lincoln 3139 1371 83
Long 3389 2029 163
Lowndes 25620 19124 1028
Lumpkin 11941 2926 496
Macon 1787 2727 79
Madison 11136 3303 359
Marion 2248 1267 84
McDuffie 6198 3968 204
McIntosh 3967 2498 137
Meriwether 6432 4135 195
Miller 2047 687 47
Mitchell 4921 3832 118
Monroe 10929 4205 294
Montgomery 2927 931 62
Morgan 8259 3151 217
Murray 12493 2296 362
Muscogee 30226 47552 1772
Newton 23408 29220 1150
Oconee 17108 7465 569
Oglethorpe 5500 2323 234
Paulding 53485 28755 2308
Peach 6483 5702 247
Pickens 13860 2678 431
Pierce 7810 1002 129
Pike 9045 1430 174
Polk 13282 3537 416
Pulaski 2787 1139 79
Putnam 8279 3299 189
Quitman 600 470 15
Rabun 7392 1825 255
Randolph 1404 1606 31
Richmond 27052 56786 2130
Rockdale 12716 30641 906
Schley 1783 439 34
Screven 3893 2589 65
Seminole 2597 1187 54
Spalding 17768 11355 641
Stephens 9353 2187 228
Stewart 803 1115 35
Sumter 5743 6114 165
Talbot 1386 2013 51
Taliaferro 366 521 15
Tattnall 5954 1978 159
Taylor 2399 1312 81
Telfair 2751 1435 69
Terrell 2040 2277 58
Thomas 13020 8158 422
Tift 10814 4956 305
Toombs 7793 2832 173
Towns 6291 1451 146
Treutlen 2078 893 52
Troup 18162 11111 536
Turner 2334 1345 62
Twiggs 2313 1981 87
Union 12423 2616 339
Upson 8568 4000 216
Walker 22650 5435 883
Walton 37399 12146 1193
Ware 9773 3937 269
Warren 1161 1407 46
Washington 4630 4477 172
Wayne 9734 2655 244
Webster 736 626 10
Wheeler 1562 657 35
White 12072 2273 371
Whitfield 25158 10177 962
Wilcox 2369 805 56
Wilkes 2810 2057 78
Wilkinson 2608 2017 79
Worth 6726 2327 157
Total: 2462617 2374519 115039
