COUNTY DISTRICT REP DEM Writein
COUNTY DISTRICT HINSON FINKENAUER Writein
Allamakee 1 4595 2697 3
Benton 1 9165 5307 17
"Black Hawk" 1 29333 36060 75
Bremer 1 8000 6036 10
Buchanan 1 6180 4481 3
Clayton 1 5895 3590 6
Delaware 1 6608 3280 8
Dubuque 1 26263 26541 55
Fayette 1 5984 4099 3
Howard 1 2944 1893 2
Iowa 1 6041 3543 8
Jackson 1 6225 4340 9
Jones 1 6621 4242 8
Linn 1 56243 69391 152
Marshall 1 9176 8176 21
Mitchell 1 3559 2016 3
Poweshiek 1 5432 4429 23
Tama 1 5150 3750 17
Winneshiek 1 6041 5807 5
Worth 1 2633 1669 6
Appanoose 2 4078 1952 8
Cedar 2 5534 4629 17
Clarke 2 2712 1639 13
Clinton 2 10945 12997 35
Davis 2 2795 1129 7
Decatur 2 2347 1215 9
"Des Moines" 2 9641 9268 62
Henry 2 5857 3607 23
Jasper 2 11181 8099 36
Jefferson 2 4226 4374 17
Johnson 2 24101 56129 68
Keokuk 2 3461 1571 8
Lee 2 9145 6969 35
Louisa 2 3169 1917 10
Lucas 2 2892 1297 7
Mahaska 2 7575 3076 26
Marion 2 12146 6124 43
Monroe 2 2612 1203 6
Muscatine 2 10279 9731 37
Scott 2 42046 47562 168
"Van Buren" 2 2759 941 4
Wapello 2 8780 6153 36
Washington 2 6633 4650 23
Wayne 2 2050 726 5
Adair 3 2655 1263 137
Adams 3 1416 634 79
Cass 3 4626 2210 187
Dallas 3 27907 25367 1596
Fremont 3 2340 1297 113
Guthrie 3 3890 2095 270
Madison 3 5995 3264 354
Mills 3 5163 2617 269
Montgomery 3 3428 1636 138
Page 3 4889 2288 193
Polk 3 102320 141567 8361
Pottawattamie 3 24256 18424 2095
Ringgold 3 1789 823 63
Taylor 3 2261 821 87
Union 3 3589 2201 248
Warren 3 16473 12698 1171
Audubon 4 1979 1134 4
Boone 4 8180 6453 34
"Buena Vista" 4 4698 3016 20
Butler 4 5157 2413 14
Calhoun 4 3473 1570 16
Carroll 4 6768 3805 21
"Cerro Gordo" 4 11736 10876 32
Cherokee 4 4168 2090 17
Chickasaw 4 4254 2092 8
Clay 4 5798 2834 16
Crawford 4 4215 2412 14
Dickinson 4 7205 3575 11
Emmet 4 3084 1565 3
Floyd 4 4478 3244 13
Franklin 4 3249 1634 10
Greene 4 2952 1848 12
Grundy 4 4906 2012 13
Hamilton 4 4690 2947 14
Hancock 4 4136 1772 10
Hardin 4 5758 2934 10
Harrison 4 5140 2498 24
Humboldt 4 3601 1473 9
Ida 4 2660 1059 10
Kossuth 4 5964 2780 5
Lyon 4 5556 1138 7
Monona 4 2974 1547 22
O'Brien 4 5744 1615 17
Osceola 4 2542 627 5
"Palo Alto" 4 3193 1621 3
Plymouth 4 10126 3620 31
Pocahontas 4 2584 1064 15
Sac 4 3745 1540 28
Shelby 4 4379 1962 16
Sioux 4 16017 2756 53
Story 4 20694 28249 116
Webster 4 10117 6894 31
Winnebago 4 3549 2215 15
Woodbury 4 24045 19812 178
Wright 4 3855 2065 15
