COUNTY REP DEM ALL CON GKH GRN LIB IND1 IND2
COUNTY TRUMP BIDEN "De La Fuente" Blankenship King Hawkins Jorgensen Pierce West
Adair 2917 1198 6 4 0 4 35 1 7
Adams 1530 590 2 3 0 1 27 0 2
Allamakee 4735 2576 4 12 1 4 71 5 5
Appanoose 4512 1891 2 5 5 9 72 4 6
Audubon 2295 1071 1 5 0 7 32 3 2
Benton 9188 5160 13 21 3 29 186 3 19
"Black Hawk" 29640 35647 54 67 20 103 722 21 146
Boone 8695 6303 15 19 7 24 198 11 34
Bremer 8294 5958 8 19 4 24 185 4 20
Buchanan 6420 4169 14 19 4 20 96 0 22
"Buena Vista" 5056 2961 15 15 3 10 66 3 20
Butler 5542 2424 4 8 3 14 68 8 13
Calhoun 3689 1470 5 8 3 3 59 2 10
Carroll 7737 3454 9 8 2 13 68 0 15
Cass 4969 2201 3 10 1 8 61 1 12
Cedar 6161 4337 6 14 3 22 124 1 12
"Cerro Gordo" 12442 10941 36 25 5 42 196 9 48
Cherokee 4495 1936 6 6 0 3 48 1 8
Chickasaw 4308 2233 6 6 4 10 47 1 2
Clarke 3144 1466 1 3 1 3 34 1 8
Clay 6137 2662 5 11 2 8 101 3 19
Clayton 6106 3340 5 10 5 18 82 1 14
Clinton 13361 10812 6 36 9 47 314 6 47
Crawford 4854 2220 2 6 4 8 42 1 9
Dallas 27987 26879 38 27 19 57 744 9 87
Davis 3032 1013 2 4 4 5 30 1 8
Decatur 2615 1120 6 3 3 11 29 3 11
Delaware 6666 3157 7 17 7 15 87 8 17
"Des Moines" 10592 8893 14 16 8 52 275 12 44
Dickinson 7438 3661 7 8 8 8 92 2 6
Dubuque 27214 25657 30 58 13 125 556 14 115
Emmet 3265 1520 3 5 1 12 36 2 6
Fayette 6145 3835 10 16 5 27 102 1 16
Floyd 4732 3172 7 12 3 10 63 6 12
Franklin 3422 1626 8 6 3 5 45 1 3
Fremont 2711 1080 0 5 2 6 37 0 10
Greene 3223 1769 4 5 4 4 36 1 5
Grundy 4929 2206 0 7 2 12 87 10 7
Guthrie 4272 1985 1 6 0 7 79 1 12
Hamilton 4956 2843 7 6 5 7 71 11 11
Hancock 4390 1683 8 9 4 7 49 0 11
Hardin 5850 2976 5 10 3 11 105 3 12
Harrison 5569 2440 6 10 5 9 85 1 19
Henry 6507 3275 7 8 8 15 128 3 13
Howard 3127 1772 1 6 2 10 23 0 11
Humboldt 3819 1442 3 6 1 4 39 0 7
Ida 2880 917 0 10 0 6 27 1 3
Iowa 6009 3547 9 11 1 15 102 3 19
Jackson 6940 4029 12 9 6 13 79 4 26
Jasper 12084 7737 11 29 7 30 207 7 31
Jefferson 4443 4319 5 7 1 32 95 4 20
Johnson 22925 59177 22 62 19 213 964 18 170
Jones 6572 4213 7 12 5 15 118 3 20
Keokuk 3797 1414 7 10 2 2 51 2 6
Kossuth 6275 2696 4 10 2 10 61 4 15
Lee 9773 6541 8 31 9 34 240 25 38
Linn 53364 70874 48 117 34 325 2015 36 265
Louisa 3500 1726 3 5 3 5 67 5 12
Lucas 3287 1284 1 5 3 6 30 2 4
Lyon 5707 1067 1 4 0 6 56 0 11
Madison 6507 3134 7 6 2 12 124 5 9
Mahaska 8297 2894 8 10 2 13 134 4 19
Marion 12663 6178 10 24 6 24 233 5 30
Marshall 9571 8176 17 22 8 31 216 7 49
Mills 5585 2508 7 7 2 12 100 0 16
Mitchell 3677 2053 3 6 4 9 56 1 6
Monona 3248 1407 3 5 0 3 36 3 9
Monroe 2975 1078 2 0 1 3 21 0 5
Montgomery 3659 1583 3 9 1 6 50 2 7
Muscatine 10823 9372 8 21 9 57 293 9 37
O'Brien 5861 1569 6 7 4 6 77 2 9
Osceola 2690 601 1 2 2 4 18 0 5
Page 5319 2086 8 7 0 10 76 1 12
"Palo Alto" 3370 1519 0 3 1 8 43 1 5
Plymouth 10492 3494 13 7 8 13 112 2 24
Pocahontas 2826 933 0 8 1 2 37 4 6
Polk 106800 146250 213 200 79 487 3322 78 562
Pottawattamie 26247 18575 10 56 14 93 552 11 81
Poweshiek 5657 4306 5 19 3 26 90 4 14
Ringgold 1968 709 0 5 2 2 18 1 3
Sac 4061 1389 2 9 2 6 47 1 10
Scott 43683 46926 51 96 32 209 1124 22 181
Shelby 4697 1959 3 12 6 7 83 5 9
Sioux 15680 3019 9 21 5 23 170 2 27
Story 20340 29175 36 51 10 147 924 21 133
Tama 5303 3577 2 12 3 19 87 2 21
Taylor 2463 746 1 2 2 1 17 0 10
Union 4010 2061 6 6 4 10 61 2 11
"Van Buren" 2859 875 2 5 2 6 23 1 7
Wapello 9516 5821 6 14 3 22 200 5 26
Warren 17782 12574 27 30 8 51 430 4 47
Washington 6971 4561 6 13 1 21 144 4 24
Wayne 2338 727 2 5 1 3 20 1 6
Webster 10938 6613 10 9 5 26 128 5 56
Winnebago 3707 2135 3 6 2 8 72 3 15
Winneshiek 6235 5617 6 15 5 21 112 6 19
Woodbury 25736 18704 33 55 11 96 435 18 84
Worth 2738 1596 8 8 1 7 38 4 14
Wright 4136 1996 5 2 3 6 70 5 19
