COUNTY DEM REP NoPartyActive OtherActive
COUNTY DemActive RepActive NoPartyAct OtherAct
Adair 1653.3754881345749 3583.624511865425 0 26
Adams 877.4582366589327 1833.5417633410673 0 13
Allamakee 3275.954217952567 6217.045782047433 0 46
Appanoose 3198.0250921214247 5196.974907878575 0 58
Audubon 1395.328947368421 2779.6710526315787 0 17
Benton 7175.546046511628 10516.453953488373 0 133
"Black Hawk" 49934.2125978735 34278.7874021265 0 776
Boone 8669.234703787633 10182.765296212367 0 159
Bremer 7781.595310712924 9712.404689287076 0 105
Buchanan 6714.186556573346 6880.813443426654 0 62
"Buena Vista" 4885.003192338388 6652.996807661612 0 87
Butler 2841.1242532855435 6924.875746714457 0 50
Calhoun 2070.5389870435806 4503.461012956419 0 44
Carroll 5977.486283730825 8427.513716269175 0 94
Cass 2406.380073800738 6887.619926199262 0 62
Cedar 5416.811571060066 7244.188428939933 0 99
"Cerro Gordo" 15486.905748144865 14277.094251855135 0 203
Cherokee 2034.896373056995 5980.103626943005 0 33
Chickasaw 3790.65625 4390.34375 0 42
Clarke 2279.06477012954 3674.93522987046 0 54
Clay 3174.630777044185 8149.369222955815 0 83
Clayton 5228.213952247565 6577.786047752434 0 74
Clinton 16546.47412195 15420.525878050003 0 227
Crawford 3875.020767778477 5836.9792322215235 0 61
Dallas 29940.297390333537 35276.70260966646 0 610
Davis 2026.773159467536 2960.226840532464 0 27
Decatur 1892.3305833824397 2936.6694166175603 0 36
Delaware 4196.96545259775 7725.03454740225 0 62
"Des Moines" 15470.629162132753 11451.370837867247 0 205
Dickinson 4182.325068870523 9433.674931129477 0 95
Dubuque 38709.912933381165 28426.087066618835 0 581
Emmet 2819.382208430308 3493.617791569692 0 38
Fayette 5431.285538005923 6911.714461994077 0 79
Floyd 5179.86611570248 5301.133884297521 0 67
Franklin 1909.2355973996862 4518.764402600314 0 39
Fremont 1318.9311449159327 3550.0688550840673 0 34
Greene 2502.455242966752 3877.544757033248 0 41
Grundy 2470.25868852459 6300.74131147541 0 50
Guthrie 2797.7758551307847 5005.224144869216 0 55
Hamilton 3526.502155172414 6358.497844827586 0 61
Hancock 2255.558806764203 5383.441193235797 0 46
Hardin 3956.210367007189 7425.789632992812 0 74
Harrison 2849.127135823921 6484.872864176079 0 83
Henry 4524.507906537645 8341.492093462355 0 94
Howard 2909.4493834241466 3165.5506165758534 0 35
Humboldt 1862.1504865891288 4557.849513410871 0 35
Ida 1230.345165238678 3625.6548347613216 0 23
Iowa 4326.779078844653 7567.220921155347 0 93
Jackson 7818.831174392463 6443.168825607537 0 54
Jasper 12592.333858911468 13154.666141088532 0 160
Jefferson 6125.646517900932 4881.353482099068 0 101
Johnson 73791.94384218444 26017.056157815554 0 925
Jones 5646.228413284132 7930.771586715868 0 62
Keokuk 2470.782724252492 4217.217275747508 0 31
Kossuth 3932.1961047683008 7011.803895231699 0 36
Lee 12973.00643527076 9099.993564729239 0 176
Linn 90296.42071498484 62830.57928501516 0 1743
Louisa 2690.9312445604874 4336.068755439513 0 36
Lucas 1878.9501428200467 3832.0498571799535 0 36
Lyon 956.2804277472915 7382.7195722527085 0 22
Madison 4224.408178913738 7329.591821086262 0 89
Mahaska 3847.4635128334176 10257.536487166582 0 110
Marion 7873.888738127544 15457.111261872455 0 161
Marshall 11874.020528771383 11795.979471228617 0 177
Mills 2850.822139463208 7685.177860536793 0 126
Mitchell 2747.64566755084 4351.35433244916 0 50
Monona 2267.4915586004404 3646.5084413995596 0 44
Monroe 1938.640519187359 3087.359480812641 0 35
Montgomery 1753.23715022822 5308.76284977178 0 48
Muscatine 13715.139364990166 13971.860635009834 0 254
O'Brien 1709.431955922865 7742.568044077135 0 59
Osceola 672.984887459807 3488.015112540193 0 16
Page 2409.1964411806243 7174.803558819376 0 69
"Palo Alto" 2719.5409836065573 3444.4590163934427 0 33
Plymouth 4521.966720516963 12907.033279483037 0 108
Pocahontas 1328.892424242424 3506.1075757575754 0 39
Polk 189643.44349634496 124017.55650365504 0 3417
Pottawattamie 25365.092311033884 34889.907688966116 0 750
Poweshiek 7108.878269848554 6352.121730151446 0 75
Ringgold 746.1288855193328 2485.871114480667 0 13
Sac 1752.0984413453652 5159.901558654635 0 24
Scott 66004.80876494024 54286.191235059756 0 1151
Shelby 2576.0826109127997 5709.917389087201 0 46
Sioux 2603.6355521689434 19760.364447831056 0 96
Story 37685.90391176333 28078.09608823667 0 872
Tama 5218.683743560389 6103.316256439611 0 73
Taylor 938.3796394485685 3047.6203605514315 0 31
Union 2651.6401551891367 5263.359844810863 0 47
"Van Buren" 1236.2987894892235 3565.7012105107765 0 29
Wapello 11363.563137982725 9402.436862017275 0 149
Warren 16287.906612598868 20057.09338740113 0 301
Washington 5509.242843951985 9283.757156048014 0 118
Wayne 1278.592170277461 2505.4078297225387 0 22
Webster 11822.378665991006 12325.621334008994 0 207
Winnebago 2808.097173509387 4740.902826490613 0 51
Winneshiek 7333.117350611951 7217.88264938805 0 72
Woodbury 27431.362565383344 33111.637434616656 0 472
Worth 2209.2613538988862 3214.7386461011138 0 27
Wright 2707.794090991481 5192.205909008519 0 43
