COUNTY REP DEM LIB IND Writein
COUNTY ERNST GREENFIELD STEWART HERZOG Writein
Adair 2809 1207 89 36 3
Adams 1497 594 46 19 3
Allamakee 4478 2602 175 80 1
Appanoose 4189 1956 168 71 2
Audubon 2188 1092 70 21 1
Benton 8830 5202 331 120 9
"Black Hawk" 29222 34963 1301 490 37
Boone 8315 6316 385 167 7
Bremer 8196 5911 254 84 5
Buchanan 6063 4292 248 96 5
"Buena Vista" 4724 3022 166 75 7
Butler 5291 2474 173 69 2
Calhoun 3513 1531 129 32 7
Carroll 7245 3580 230 96 11
Cass 4725 2259 120 54 7
Cedar 5935 4300 226 74 6
"Cerro Gordo" 11339 11534 430 211 16
Cherokee 4214 2002 138 67 4
Chickasaw 4024 2324 159 71 2
Clarke 2906 1520 119 60 4
Clay 5716 2861 193 89 9
Clayton 5845 3434 157 82 6
Clinton 12559 10942 635 200 15
Crawford 4424 2336 160 80 9
Dallas 28727 25427 1006 381 33
Davis 2728 1167 112 32 2
Decatur 2439 1165 90 43 3
Delaware 6454 3235 172 71 4
"Des Moines" 9468 9296 591 232 29
Dickinson 7149 3791 174 66 4
Dubuque 26034 25433 1148 428 37
Emmet 2965 1637 147 47 1
Fayette 5865 3912 229 89 7
Floyd 4181 3498 187 98 8
Franklin 3270 1639 100 50 7
Fremont 2563 1099 89 56 1
Greene 3063 1784 104 39 2
Grundy 4900 2120 154 38 5
Guthrie 4103 2000 162 56 5
Hamilton 4679 2913 190 84 9
Hancock 4004 1881 130 60 5
Hardin 5639 2920 195 84 1
Harrison 5059 2574 253 118 14
Henry 5875 3457 310 116 14
Howard 2716 2014 118 58 0
Humboldt 3671 1443 108 40 2
Ida 2757 964 66 28 2
Iowa 5794 3541 205 84 11
Jackson 6175 4249 366 118 5
Jasper 11405 7905 531 167 18
Jefferson 4008 4547 163 80 10
Johnson 23773 57063 1382 373 42
Jones 6320 4237 273 68 4
Keokuk 3565 1489 101 53 5
Kossuth 5957 2799 193 57 0
Lee 8489 7445 485 122 11
Linn 53248 69125 3188 815 90
Louisa 3259 1804 141 51 4
Lucas 3105 1302 99 36 3
Lyon 5522 1073 104 50 2
Madison 6245 3168 218 86 3
Mahaska 7860 2969 273 118 8
Marion 12211 6269 423 144 15
Marshall 9057 8187 442 165 21
Mills 5347 2544 177 82 8
Mitchell 3347 2282 124 49 0
Monona 3054 1455 108 39 9
Monroe 2742 1148 84 34 1
Montgomery 3633 1520 98 46 4
Muscatine 10278 9381 570 199 13
O'Brien 5675 1640 105 38 4
Osceola 2525 657 49 31 1
Page 5152 2067 138 78 3
"Palo Alto" 3113 1677 106 36 0
Plymouth 10145 3587 219 77 11
Pocahontas 2641 1003 91 39 6
Polk 106443 142328 5313 1985 188
Pottawattamie 24720 18520 1269 524 32
Poweshiek 5361 4381 202 91 8
Ringgold 1870 732 75 16 3
Sac 3849 1440 129 60 7
Scott 42941 45751 2139 709 66
Shelby 4489 1989 156 57 3
Sioux 15785 2828 192 81 9
Story 20750 28216 1133 370 44
Tama 5090 3588 205 79 8
Taylor 2337 762 83 28 0
Union 3820 2051 172 76 5
"Van Buren" 2583 1065 75 28 1
Wapello 8464 6344 394 132 14
Warren 17276 12478 692 234 23
Washington 6773 4519 262 95 5
Wayne 2186 784 53 28 4
Webster 10195 6845 403 173 19
Winnebago 3336 2361 153 72 4
Winneshiek 6039 5581 218 118 4
Woodbury 24175 18674 994 629 72
Worth 2425 1803 98 46 5
Wright 3889 2063 158 76 2
