"PARTY"  "REP"   "DEM"   "LIB"       "IND1" "IND2"   "WI1"     "WI2"     "WI3"     "WI4"     "WI5"       "WI6"      "WI7"    "WI8"    "WI9"   "WI10"    "WI11"
"COUNTY" "TRUMP" "BIDEN" "JORGENSEN" "WEST" "PIERCE" "HAWKINS" "CARROLL" "LA_RIVA" "CHARLES" "J_SIMMONS" "HOEFLING" "HOWARD" "BODDIE" "WELLS" "STEVENS" "M_SIMMONS"
"Adair" 7276 1392 60 25 10 5 0 0 0 0 0 0 0 0 0 0
"Allen" 7587 1642 99 22 14 0 0 0 0 0 0 0 0 0 0 0
"Anderson" 9661 3348 184 34 19 5 0 0 2 1 0 0 0 0 0 0
"Ballard" 3356 825 32 10 2 0 0 0 0 0 0 0 0 0 0 0
"Barren" 14654 5127 201 52 21 5 4 0 0 0 0 0 0 0 0 0
"Bath" 3986 1573 44 12 12 0 0 0 0 0 0 0 0 0 0 0
"Bell" 8140 1789 78 30 7 0 0 0 0 0 0 0 0 0 0 0
"Boone" 44814 20901 981 171 93 16 20 1 0 0 1 0 0 0 0 0
"Bourbon" 6190 3296 106 31 20 3 0 2 0 0 0 0 0 0 0 0
"Boyd" 14295 7083 287 55 21 9 1 0 0 0 0 0 0 0 0 0
"Boyle" 8872 5298 210 63 24 9 2 0 0 0 0 0 0 0 0 0
"Bracken" 3398 800 27 11 8 0 2 0 0 0 0 0 0 0 0 0
"Breathitt" 4265 1301 52 31 12 0 0 0 0 0 0 0 0 0 0 0
"Breckinridge" 7701 2350 103 24 19 3 1 0 0 0 0 0 0 0 0 0
"Bullitt" 30708 10552 563 87 55 18 10 2 2 0 1 0 0 0 0 0
"Butler" 4960 1079 63 8 12 3 0 0 0 0 0 0 0 0 0 0
"Caldwell" 4906 1433 58 22 9 3 2 0 0 0 0 0 1 0 0 0
"Calloway" 11352 5797 227 44 27 8 1 1 0 0 0 0 0 0 0 0
"Campbell" 28482 19374 763 133 82 25 13 5 0 0 0 1 0 0 0 0
"Carlisle" 2159 463 15 1 0 0 0 0 0 0 0 0 0 0 0 0
"Carroll" 2954 1116 44 13 8 0 1 0 0 0 0 0 0 0 0 0
"Carter" 8775 2642 107 45 16 0 0 0 1 0 0 0 0 0 0 0
"Casey" 6179 918 53 12 9 0 0 0 0 0 0 0 0 0 0 0
"Christian" 15080 8296 348 95 44 0 0 0 0 0 0 0 0 0 0 0
"Clark" 11811 6004 226 53 34 6 2 1 1 0 0 1 0 0 0 0
"Clay" 6677 831 40 23 19 1 0 0 0 0 0 0 0 0 0 0
"Clinton" 4280 603 30 10 9 0 0 0 0 0 0 0 0 0 0 0
"Crittenden" 3451 731 47 7 6 0 0 0 0 0 0 0 0 0 0 0
"Cumberland" 2769 508 21 7 4 0 0 0 0 0 0 0 0 0 0 0
"Daviess" 31025 17286 670 168 96 24 18 0 0 0 0 0 0 0 0 0
"Edmonson" 4828 1227 60 10 6 1 0 0 0 0 0 0 0 0 0 0
"Elliott" 2246 712 18 9 10 0 0 0 0 0 0 0 0 0 0 0
"Estill" 5100 1355 64 16 3 2 0 0 0 0 0 0 0 0 0 0
"Fayette" 58860 90600 2383 562 309 101 56 15 17 5 2 2 0 0 0 0
"Fleming" 5534 1474 37 16 5 2 0 0 0 0 0 0 0 0 0 0
"Floyd" 12250 3884 111 69 37 2 0 0 0 0 0 0 0 0 0 0
"Franklin" 12900 12652 365 89 55 3 5 1 1 1 0 0 0 0 0 0
"Fulton" 1606 794 18 2 5 1 0 0 0 0 0 0 0 0 0 0
"Gallatin" 2955 822 58 3 11 0 0 0 0 0 0 0 0 0 0 0
"Garrard" 6754 1830 86 25 8 2 1 0 0 0 0 0 0 0 0 0
"Grant" 8725 2205 139 20 17 1 0 1 0 0 0 0 0 0 0 0
"Graves" 13206 3560 187 36 30 0 0 0 0 0 0 0 0 0 0 0
"Grayson" 9453 2400 85 33 12 1 0 1 0 0 0 0 0 0 0 0
"Green" 4838 920 29 18 7 0 0 0 0 0 0 0 0 0 0 0
"Greenup" 13064 4873 178 28 33 0 0 0 0 0 0 0 0 0 0 0
"Hancock" 3145 1351 67 14 10 0 0 0 0 0 0 0 0 0 0 0
"Hardin" 29832 18101 753 151 104 0 0 0 0 0 0 0 0 0 0 0
"Harlan" 9367 1494 81 16 13 0 0 0 0 0 0 0 0 0 0 0
"Harrison" 6334 2400 85 14 20 4 0 2 0 0 0 0 0 0 0 0
"Hart" 6345 1908 76 22 18 0 0 0 0 0 0 1 0 0 0 0
"Henderson" 12730 7639 244 50 25 6 2 1 0 0 0 0 0 0 0 0
"Henry" 5843 2142 86 19 17 3 0 0 0 0 0 0 0 0 0 0
"Hickman" 1714 458 21 2 4 0 0 0 0 0 0 0 0 0 0 0
"Hopkins" 15757 5439 226 63 24 3 0 0 0 0 0 0 0 0 0 0
"Jackson" 5453 605 33 15 7 0 0 0 0 0 0 0 0 0 0 0
"Jefferson" 150646 228358 4782 1660 749 220 147 38 6 17 4 1 0 1 0 0
"Jessamine" 17096 8567 447 92 49 5 22 0 2 0 0 0 0 0 0 0
"Johnson" 8450 1608 77 31 26 0 0 0 0 0 0 0 0 0 0 0
"Kenton" 48129 32271 1360 225 135 53 17 4 1 2 0 1 0 0 0 0
"Knott" 4780 1412 28 15 17 0 0 0 0 0 0 0 0 0 0 0
"Knox" 11012 2114 109 32 6 0 0 0 0 0 0 0 0 0 0 0
"Larue" 5685 1504 86 19 7 0 0 0 0 0 0 0 0 0 0 0
"Laurel" 23237 4475 282 55 52 5 2 1 0 0 2 0 0 0 0 0
"Lawrence" 5633 1238 50 20 14 0 0 0 0 0 0 0 0 0 0 0
"Lee" 2273 481 28 7 12 0 0 0 0 0 0 0 0 0 0 0
"Leslie" 4321 446 23 12 9 1 1 0 0 0 0 0 0 0 0 0
"Letcher" 7226 1799 69 28 13 0 0 0 0 0 0 0 0 0 0 0
"Lewis" 4986 823 61 6 7 0 0 0 0 0 0 0 0 0 0 0
"Lincoln" 8489 2254 129 23 18 0 0 1 0 0 0 0 0 0 0 0
"Livingston" 4010 939 44 6 4 1 0 0 0 0 0 0 0 0 0 0
"Logan" 9067 3094 145 22 18 3 1 0 0 0 0 0 0 0 0 0
"Lyon" 3100 1092 25 7 4 0 0 0 0 0 0 0 0 0 0 0
"Madison" 27356 15581 730 140 104 23 14 8 0 1 0 0 0 0 0 0
"Magoffin" 4174 1214 40 10 9 0 0 0 0 0 0 0 0 0 0 0
"Marion" 6113 2722 55 24 14 0 0 0 0 0 0 0 0 0 0 0
"Marshall" 13297 4071 165 44 24 1 1 0 0 0 0 0 0 0 0 0
