X_1 PARTY X_2 DEM REP OTH IND LIB GRN CON REF SOC X_3 X_4 X_5
Cno COUNTY Precincts DEM_REG REP_REG Other Ind Libert Green Const Reform SocWk Male Female Registered
001 ADAIR 16 3301 9946 420 401 39 4 2 1 1 6837 7275 14115
002 ALLEN 13 4461 10116 824 349 43 10 4 0 3 7537 8270 15810
003 ANDERSON 14 8608 8937 747 568 65 2 2 1 1 9043 9867 18931
004 BALLARD 13 3945 2329 247 119 15 1 2 0 0 3202 3452 6658
005 BARREN 25 14831 15689 1079 1170 89 13 11 1 2 15447 17430 32885
006 BATH 12 6682 2552 353 154 15 2 4 1 2 4723 5037 9765
007 BELL 30 8003 12052 943 267 30 1 5 2 0 10034 11236 21303
008 BOONE 63 34769 62938 9180 5402 648 80 37 5 11 54594 58464 113070
009 BOURBON 16 8290 5560 603 535 47 7 4 0 2 7033 8013 15048
010 BOYD 48 19827 17411 1516 2226 164 19 13 1 4 19366 21802 41181
011 BOYLE 25 11150 10226 1069 807 88 17 5 2 1 10870 12484 23365
012 BRACKEN 8 4205 2223 226 146 16 3 0 0 0 3344 3470 6819
013 BREATHITT 21 9484 1596 259 123 9 3 1 0 0 5614 5850 11475
014 BRECKINRIDGE 16 6351 8785 476 550 45 5 5 0 0 7953 8263 16217
015 BULLITT 47 24720 32285 4063 2097 297 29 26 2 2 30688 32827 63521
016 BUTLER 12 2026 7262 230 202 31 6 1 0 1 4712 5030 9759
017 CALDWELL 13 5777 3918 396 228 27 4 1 0 1 4901 5443 10352
018 CALLOWAY 23 16213 12377 2074 1156 121 22 11 2 1 15041 16895 31977
019 CAMPBELL 67 31791 37847 5831 4506 478 71 10 6 17 38317 42233 80557
020 CARLISLE 6 2506 1460 108 44 6 1 0 0 0 1973 2150 4125
021 CARROLL 11 5389 2233 457 163 19 3 7 1 0 3985 4282 8274
022 CARTER 26 9901 9016 823 630 52 6 2 0 0 9812 10615 20430
023 CASEY 15 1791 9237 126 285 28 1 3 1 0 5539 5889 11472
024 CHRISTIAN 41 27859 21815 3911 1925 331 45 41 5 3 25166 30736 55935
025 CLARK 26 14063 13204 2082 997 121 10 8 2 1 14519 15966 30488
026 CLAY 20 1803 12533 195 211 16 3 0 0 0 7155 7601 14761
027 CLINTON 13 1088 6555 74 93 6 1 0 0 0 3757 4055 7817
028 CRITTENDEN 12 2426 3733 373 188 16 2 2 0 1 3221 3519 6741
029 CUMBERLAND 10 769 4426 142 90 7 0 0 0 0 2619 2808 5434
030 DAVIESS 57 39260 32517 3920 2228 303 41 22 4 7 36768 41530 78302
031 EDMONSON 8 2618 6615 318 265 24 5 2 1 1 4907 4941 9849
032 ELLIOTT 7 4245 901 152 68 12 0 0 1 0 2672 2693 5379
033 ESTILL 15 3714 6336 407 238 22 2 1 1 0 5212 5508 10721
034 FAYETTE 286 132403 89526 15620 12499 1305 217 51 14 29 117140 134524 251664
035 FLEMING 18 5602 4969 449 196 27 3 0 0 1 5417 5804 11247
036 FLOYD 42 22171 6358 347 974 50 11 3 0 1 14499 15413 29915
037 FRANKLIN 44 25670 11617 1597 1461 148 22 16 0 5 18568 21944 40536
038 FULTON 11 3659 1467 383 81 12 2 1 0 0 2406 3199 5605
039 GALLATIN 8 3327 2815 354 207 24 6 0 0 0 3291 3440 6733
040 GARRARD 14 3747 8811 836 382 36 3 3 0 2 6639 7175 13820
041 GRANT 22 7331 9751 1391 570 74 12 6 1 1 9323 9811 19137
042 GRAVES 30 14693 10460 1002 538 89 3 7 1 2 12572 14218 26795
043 GRAYSON 22 5103 12604 783 395 40 7 5 0 1 8972 9959 18938
044 GREEN 10 2512 5884 287 155 20 7 1 0 0 4254 4590 8866
045 GREENUP 29 14550 13660 1361 1185 110 12 8 1 1 14626 16253 30888
046 HANCOCK 10 3366 3225 257 163 33 4 0 0 1 3445 3602 7049
047 HARDIN 59 40289 40067 6646 3628 472 63 56 4 7 42853 48359 91232
048 HARLAN 32 10953 8792 443 327 59 6 7 0 1 9808 10778 20588
049 HARRISON 19 7935 5468 457 425 34 5 2 0 1 6912 7414 14327
050 HART 19 7068 6329 546 349 40 6 6 1 1 6920 7398 14346
051 HENDERSON 45 21776 11933 2015 893 111 16 17 3 2 17051 19692 36766
052 HENRY 20 6197 5534 467 326 48 3 5 0 0 6141 6437 12580
