PARTY REP DEM LIB WI1 WI2 WI3 WI4 WI5
COUNTY McCONNELL McGRATH BARRON FRANGEDAKIS COBBLE TEEGARDEN FITZPATRICK WYSINGER
Adair 6753 1623 348 0 0 0 0 0
Allen 6949 1919 433 0 0 0 0 0
Anderson 9021 3663 551 0 0 0 0 0
Ballard 3155 936 136 0 0 0 0 0
Barren 13341 5600 1081 0 0 0 0 0
Bath 3537 1827 246 0 0 0 0 0
Bell 7346 2159 442 0 0 0 0 0
Boone 41729 22450 2778 0 0 0 0 0
Bourbon 5807 3477 364 0 0 0 0 0
Boyd 12909 7915 931 0 0 0 0 0
Boyle 8418 5445 603 0 0 0 0 0
Bracken 3042 987 203 0 0 0 0 0
Breathitt 3738 1652 223 0 0 0 0 0
Breckinridge 6937 2764 497 1 0 0 0 0
Bullitt 28040 11896 1946 0 0 0 0 0
Butler 4471 1239 413 0 0 0 0 0
Caldwell 4452 1675 298 0 0 0 0 0
Calloway 10635 6180 664 0 0 0 0 0
Campbell 26327 20600 1954 0 1 0 0 0
Carlisle 2009 541 92 0 0 0 0 0
Carroll 2560 1299 256 0 0 0 0 0
Carter 7725 3253 570 0 0 0 0 0
Casey 5775 1027 350 0 0 0 0 0
Christian 13523 9130 1136 1 0 0 0 0
Clark 11120 6312 695 1 0 0 0 0
Clay 6242 1016 310 0 0 0 0 0
Clinton 3969 729 204 0 0 0 0 0
Crittenden 3163 869 204 0 0 0 0 0
Cumberland 2446 610 221 0 0 0 0 0
Daviess 28087 18383 2819 0 0 0 0 0
Edmonson 4408 1383 332 0 0 0 0 0
Elliott 1958 868 140 0 0 0 0 0
Estill 4783 1515 239 0 0 0 0 0
Fayette 58919 90137 4141 17 0 0 0 0
Fleming 5041 1743 255 0 0 0 0 0
Floyd 10737 4924 623 0 0 0 0 0
Franklin 11990 13091 1034 0 1 0 0 0
Fulton 1489 810 110 0 0 0 0 0
Gallatin 2653 974 217 0 0 0 0 0
Garrard 6371 1959 363 1 0 0 0 0
Grant 7957 2544 581 1 0 1 0 0
Graves 12334 3939 690 0 0 0 0 0
Grayson 8571 2633 758 0 1 0 0 0
Green 4472 1074 252 0 0 0 0 0
Greenup 11622 5673 841 2 0 0 0 0
Hancock 2729 1580 269 0 0 0 0 0
Hardin 27448 19221 2280 2 0 1 0 0
Harlan 8637 1892 393 0 0 0 0 0
Harrison 5911 2565 368 0 0 0 0 0
Hart 5805 2123 420 2 0 0 0 0
Henderson 11510 8256 917 0 0 0 0 0
Henry 5259 2431 402 0 0 0 0 0
Hickman 1610 512 70 0 0 0 0 0
Hopkins 14247 6066 1155 0 0 0 0 0
Jackson 5168 689 229 0 0 0 0 0
Jefferson 145547 230750 10763 14 13 2 0 1
Jessamine 16488 8861 977 14 0 4 0 0
Johnson 7898 1868 386 0 0 0 0 0
Kenton 44700 34461 3030 5 1 0 0 0
Knott 4331 1664 206 0 0 0 0 0
Knox 10291 2413 536 0 0 0 0 0
Larue 5137 1747 407 0 0 0 0 0
Laurel 22040 4883 1217 0 0 0 0 0
Lawrence 5089 1520 313 0 0 0 0 0
Lee 2114 560 109 0 0 0 0 0
Leslie 4061 562 169 0 0 0 0 0
Letcher 6441 2245 391 0 0 0 0 0
Lewis 4500 991 366 0 0 0 0 0
Lincoln 7820 2521 552 0 0 0 0 0
Livingston 3701 1110 186 0 0 0 0 0
Logan 8180 3503 640 0 0 0 0 0
Lyon 2884 1204 141 0 0 0 0 0
Madison 26069 16271 1683 2 1 0 0 0
Magoffin 3857 1393 177 0 0 0 0 0
Marion 5274 3144 474 0 0 0 0 0
Marshall 12384 4532 691 0 0 0 0 0
Martin 3348 497 80 0 0 0 0 0
Mason 4999 2601 329 0 0 0 0 0
McCracken 20883 11627 1051 1 0 0 0 0
McCreary 5179 889 322 0 0 0 0 0
McLean 3211 1241 323 0 0 0 0 0
Meade 9070 4225 771 0 0 0 0 0
Menifee 2071 882 123 0 0 0 0 0
Mercer 7956 3247 501 0 0 0 0 0
Metcalfe 3538 1129 302 0 0 0 0 0
Monroe 4320 763 191 0 0 0 0 0
Montgomery 8345 3983 488 0 0 0 0 0
Morgan 3918 1378 229 0 0 0 0 0
Muhlenberg 9222 4175 763 0 0 0 0 0
Nelson 14219 7943 1042 0 0 0 0 0
Nicholas 2151 1088 149 0 0 0 0 0
Ohio 7619 2765 694 0 0 0 0 0
Oldham 22025 14715 1330 0 0 0 0 0
Owen 3958 1235 253 0 0 0 0 0
Owsley 1517 280 80 0 0 0 0 0
Pendleton 4993 1570 350 0 0 0 0 0
Perry 7390 2788 375 0 0 0 0 0
Pike 18366 6017 883 0 0 0 0 0
Powell 3642 1591 260 0 0 0 0 0
Pulaski 23900 6120 1496 0 0 1 1 0
Robertson 796 288 55 0 0 0 0 0
Rockcastle 6194 1225 336 0 0 0 0 0
Rowan 5403 4175 464 1 0 0 0 0
Russell 6919 1552 461 0 0 0 0 0
Scott 16408 11251 1314 4 0 0 0 0
Shelby 14113 8332 1149 0 0 0 0 0
Simpson 5302 2976 421 0 0 0 0 0
Spencer 8026 2827 554 0 0 0 0 0
Taylor 8637 3279 582 0 0 0 0 0
Todd 3567 1464 308 0 0 0 0 0
Trigg 5000 2034 334 0 0 0 0 0
Trimble 2889 1183 230 0 0 0 0 0
Union 4351 1803 399 0 0 0 0 0
Warren 29719 23347 2367 1 0 0 0 0
Washington 4107 1769 317 0 0 0 0 0
Wayne 6689 1978 483 0 0 0 0 0
Webster 4029 1600 347 0 0 0 0 0
Whitley 11634 2887 777 0 0 0 0 0
Wolfe 1912 945 124 0 0 0 0 0
Woodford 8119 6612 518 0 0 0 0 0
