COUNTY REP DEM IND1 IND2 Others
COUNTY COLLINS GIDEON Linn Savage Others
AND 32979 22181 1090 2438 2
ARO 24033 9750 743 1072 3
CUM 74592 105308 2138 11907 39
FRA 9817 6276 322 969 0
HAN 17371 15379 736 1821 8
KEN 39481 27664 1324 3407 10
KNO 11705 12190 399 1461 3
LIN 12075 10102 349 1111 3
OXF 19567 11705 635 1511 4
PEN 51088 28958 1600 3461 100
PIS 6603 2655 210 394 0
SAG 11558 10787 337 1354 3
SOM 17861 7355 525 1770 3
WAL 12538 9768 394 1604 9
WAS 11196 5251 338 547 10
YOR 64092 57826 2255 5389 16
UOCACA 1089 4068 113 363 15
