"COUNTY" "DEM" "Blankenship" "Carroll" "De La Fuente" "Hawkins" "Hoefling" "Hunter" "Jorgensen" "Simmons" "REP" "Wells"
COUNTY Biden Blankenship Carroll "De La Fuente" Hawkins Hoefling Hunter Jorgensen Simmons Trump Wells
ALCONA 2142 12 1 0 11 0 0 50 0 4848 0
ALGER 2053 9 0 2 9 0 0 41 0 3014 0
ALLEGAN 24449 118 11 37 143 0 0 943 1 41392 0
ALPENA 6000 26 2 6 28 0 0 220 1 10686 0
ANTRIM 5960 16 0 8 28 0 0 189 0 9748 0
ARENAC 2774 17 0 3 12 0 0 97 0 5928 0
BARAGA 1478 5 0 0 10 2 0 31 0 2512 0
BARRY 11797 59 0 16 83 0 0 479 0 23471 0
BAY 26151 102 0 32 155 2 0 688 0 33125 0
BENZIE 5480 13 2 9 29 0 0 128 0 6601 0
BERRIEN 37438 140 11 47 173 0 0 1062 1 43519 0
BRANCH 6159 38 0 12 47 0 0 216 0 14064 0
CALHOUN 28877 117 4 34 137 1 0 890 0 36221 0
CASS 9130 40 2 13 45 1 0 286 0 16699 0
CHARLEVOIX 6939 13 0 4 43 0 0 160 0 9841 0
CHEBOYGAN 5437 18 0 8 23 0 0 196 0 10186 0
CHIPPEWA 6648 26 1 13 39 0 0 233 1 10681 0
CLARE 5199 22 0 3 34 0 0 162 0 10861 0
CLINTON 21968 63 13 28 94 1 0 659 2 25098 1
CRAWFORD 2672 4 0 5 24 0 0 69 0 5087 0
DELTA 7606 33 0 14 42 0 0 249 0 13207 0
DICKINSON 4744 15 0 11 15 0 0 187 0 9617 0
EATON 31299 114 21 32 166 0 0 895 2 31798 0
EMMET 9662 26 1 10 59 0 0 284 0 12135 0
"GD. TRAVERSE" 28683 64 9 31 151 0 0 796 0 30502 0
GENESEE 119390 323 39 106 549 4 0 2234 1 98714 0
GLADWIN 4524 18 0 1 25 0 0 142 0 9893 0
GOGEBIC 3570 4 0 4 21 0 0 67 0 4600 0
GRATIOT 6693 31 1 11 49 0 0 240 0 12102 0
HILLSDALE 5883 38 14 13 56 0 0 261 0 17037 0
HOUGHTON 7750 28 0 11 49 0 0 285 0 10378 0
HURON 5490 24 0 15 32 0 0 145 0 12731 0
INGHAM 94212 221 43 104 456 0 0 1873 2 47639 0
IONIA 10901 55 4 23 79 0 0 490 0 20657 0
IOSCO 5373 31 4 11 33 0 0 152 0 9759 0
IRON 2493 8 0 4 14 0 0 54 0 4216 0
ISABELLA 14072 35 10 20 102 1 0 365 1 14815 0
JACKSON 31995 108 9 44 213 6 0 1113 1 47372 0
KALAMAZOO 83686 219 37 90 494 0 0 2064 1 56823 0
KALKASKA 3002 21 1 5 24 0 0 142 0 7436 0
KENT 187915 490 192 241 957 2 1 5495 13 165741 1
KEWEENAW 672 2 0 0 4 0 0 17 0 862 0
LAKE 2288 9 0 3 12 0 0 65 0 3946 0
LAPEER 16367 78 8 27 113 2 0 573 0 35482 0
LEELANAU 8795 9 2 4 40 0 0 134 0 7916 0
LENAWEE 20918 84 0 22 119 0 0 690 1 31541 0
LIVINGSTON 48220 133 27 57 263 1 0 1511 3 76982 0
LUCE 842 11 0 4 8 0 0 27 0 2109 0
MACKINAC 2632 8 0 2 13 0 0 56 0 4304 0
MACOMB 223952 551 28 242 1149 0 0 4462 7 263863 2
MANISTEE 6107 28 1 10 34 0 0 154 0 8321 0
MARQUETTE 20465 43 4 22 131 0 0 511 0 16286 0
MASON 6802 21 5 19 57 0 0 143 0 10207 0
MECOSTA 7375 37 3 13 51 0 0 303 0 13267 0
MENOMINEE 4316 22 1 2 24 0 0 125 0 8117 0
MIDLAND 20493 67 11 21 116 0 0 701 4 27675 0
MISSAUKEE 1967 10 1 2 16 0 0 111 0 6648 0
MONROE 32975 143 0 41 193 0 0 1086 0 52710 0
MONTCALM 9703 67 14 17 56 0 0 428 0 21815 0
MONTMORENCY 1628 38 0 0 11 0 0 11 0 4171 0
MUSKEGON 45643 134 9 37 269 0 0 1219 0 45133 0
NEWAYGO 7873 28 5 11 56 0 0 331 0 18857 0
OAKLAND 434148 731 127 331 1746 3 0 7282 11 325971 1
OCEANA 4944 27 0 8 25 0 0 166 0 8892 0
OGEMAW 3475 11 0 8 26 0 0 134 0 8253 0
ONTONAGON 1391 8 0 4 13 0 0 30 0 2358 0
OSCEOLA 3214 21 0 3 28 0 0 135 0 8928 0
OSCODA 1342 12 0 4 11 0 0 39 0 3466 0
OTSEGO 4743 23 1 8 26 0 0 177 0 9779 0
OTTAWA 64705 215 76 112 367 3 0 2315 7 100913 0
"PRESQUE ISLE" 2911 10 2 4 5 0 0 70 0 5342 0
ROSCOMMON 5166 29 0 7 25 0 0 121 0 9670 0
SAGINAW 51088 160 0 76 231 0 0 1007 2 50785 0
SANILAC 5966 22 0 11 40 0 0 213 0 16194 0
SCHOOLCRAFT 1589 10 0 4 12 0 0 40 0 3090 0
SHIAWASSEE 15347 82 3 20 98 0 0 524 1 23149 0
"ST. CLAIR" 31363 134 1 59 213 0 0 1109 0 59185 0
"ST. JOSEPH" 9262 49 0 18 63 0 0 416 1 18127 0
TUSCOLA 8712 41 2 11 54 0 0 327 1 20297 0
"VAN BUREN" 16803 60 2 14 91 0 0 504 1 21591 0
WASHTENAW 157136 195 128 101 651 0 0 1956 10 56241 0
WAYNE 597170 1088 70 542 2463 3 0 6567 13 264553 0
WEXFORD 5838 20 0 4 42 0 0 259 0 12102 0
