COUNTY DEM LIB REP
COUNTY BIDEN JORGENSEN TRUMP
Beaverhead 1608 130 3923
"Big Horn" 2491 86 2207
Blaine 1589 59 1469
Broadwater 835 89 3173
Carbon 2421 163 4468
Carter 74 15 775
Cascade 15456 1114 23315
Chouteau 991 83 1891
Custer 1514 141 4205
Daniels 195 20 799
Dawson 962 105 3758
"Deer Lodge" 2562 143 2186
Fallon 172 28 1375
Fergus 1496 142 4869
Flathead 20274 1341 38321
Gallatin 37044 2239 31696
Garfield 41 8 764
Glacier 3610 123 1884
"Golden Valley" 78 11 414
Granite 638 45 1419
Hill 2981 244 3957
Jefferson 2625 181 5345
"Judith Basin" 275 29 1040
Lake 6916 388 9322
"Lewis & Clark" 19743 1113 21409
Liberty 249 13 821
Lincoln 2835 240 8672
Madison 1771 125 4191
McCone 155 17 956
Meagher 258 19 833
Mineral 686 49 1828
Missoula 43357 1791 26347
Musselshell 413 45 2423
Park 5280 261 6025
Petroleum 39 11 298
Phillips 416 30 1936
Pondera 903 61 2031
"Powder River" 154 12 970
Powell 752 72 2355
Prairie 126 15 603
Ravalli 8763 630 19114
Richland 875 123 4800
Roosevelt 1910 111 1996
Rosebud 1199 88 2486
Sanders 1820 142 5660
Sheridan 574 53 1403
"Silver Bow" 10392 521 7745
Stillwater 1156 106 4462
"Sweet Grass" 549 57 1840
Teton 1007 64 2608
Toole 467 56 1596
Treasure 78 9 373
Valley 1030 96 3135
Wheatland 225 20 823
Wibaux 77 5 516
Yellowstone 30679 2370 50772
