COUNTY DEM LIB REP
COUNTY TESTER BRECKENRIDGE ROSENDALE
Beaverhead 1876 155 2866
"Big Horn" 3027 91 1558
Blaine 1961 76 982
Broadwater 1071 104 2086
Carbon 2680 178 3209
Carter 128 22 602
Cascade 17435 1008 15566
Chouteau 1275 70 1312
Custer 1942 179 2762
Daniels 281 29 631
Dawson 1233 140 2700
"Deer Lodge" 2892 136 1208
Fallon 281 57 951
Fergus 1964 189 3640
Flathead 19652 1349 26759
Gallatin 33251 1434 21248
Garfield 81 30 571
Glacier 3754 89 1153
"Golden Valley" 130 21 303
Granite 695 52 1046
Hill 3729 227 2434
Jefferson 2954 226 3653
"Judith Basin" 388 51 752
Lake 6916 365 6491
"Lewis & Clark" 20506 927 14106
Liberty 365 30 586
Lincoln 2902 298 6137
Madison 1890 171 2898
McCone 227 29 773
Meagher 319 28 629
Mineral 785 92 1181
Missoula 41688 1332 18631
Musselshell 573 116 1743
Park 5114 253 4357
Petroleum 58 6 248
Phillips 577 79 1426
Pondera 1176 96 1413
"Powder River" 203 22 748
Powell 1026 93 1641
Prairie 177 26 450
Ravalli 9156 623 13622
Richland 1136 179 3017
Roosevelt 2013 88 1346
Rosebud 1511 91 1765
Sanders 2071 227 3856
Sheridan 712 83 1017
"Silver Bow" 11672 394 4246
Stillwater 1501 157 3206
"Sweet Grass" 652 74 1372
Teton 1290 83 1784
Toole 626 69 1208
Treasure 129 6 279
Valley 1545 200 2137
Wheatland 315 32 586
Wibaux 140 12 390
Yellowstone 32225 2351 34682
