COUNTY DEM REP
COUNTY BULLOCK DAINES
Beaverhead 1890 3775
"Big Horn" 2687 2106
Blaine 1792 1343
Broadwater 1003 3107
Carbon 2591 4404
Carter 94 767
Cascade 17727 22312
Chouteau 1179 1813
Custer 1865 3995
Daniels 243 787
Dawson 1189 3634
"Deer Lodge" 2961 1921
Fallon 235 1341
Fergus 1788 4746
Flathead 22180 37861
Gallatin 39540 31829
Garfield 73 736
Glacier 4032 1687
"Golden Valley" 99 405
Granite 741 1360
Hill 3477 3746
Jefferson 2967 5206
"Judith Basin" 322 1026
Lake 7664 8964
"Lewis & Clark" 21955 20554
Liberty 299 789
Lincoln 3228 8490
Madison 2015 4103
McCone 177 946
Meagher 306 812
Mineral 816 1735
Missoula 46268 25529
Musselshell 538 2341
Park 5766 5841
Petroleum 51 300
Phillips 483 1895
Pondera 1072 1933
"Powder River" 180 957
Powell 936 2240
Prairie 161 586
Ravalli 9868 18706
Richland 1122 4669
Roosevelt 2142 1891
Rosebud 1338 2436
Sanders 2191 5395
Sheridan 668 1356
"Silver Bow" 12183 6641
Stillwater 1374 4370
"Sweet Grass" 625 1834
Teton 1165 2541
Toole 595 1528
Treasure 88 376
Valley 1306 2953
Wheatland 270 789
Wibaux 105 491
Yellowstone 34833 49276
