COUNTY CST DEM GRE LIB NA REP
COUNTY CST DEM GRE LIB "NA" REP
ALAMANCE 151 38825 223 686 150 46056
ALEXANDER 24 4145 18 127 34 15888
ALLEGHANY 5 1486 15 35 8 4527
ANSON 19 5789 14 41 10 5321
ASHE 27 4164 23 126 23 11451
AVERY 10 2191 13 56 16 7172
BEAUFORT 37 9633 30 137 41 16437
BERTIE 8 5939 15 29 7 3817
BLADEN 20 7326 18 68 17 9676
BRUNSWICK 91 33310 119 642 163 55850
BUNCOMBE 225 96515 542 1460 415 62412
BURKE 43 13118 83 270 69 31019
CABARRUS 144 52162 253 1096 335 63237
CALDWELL 52 10245 60 273 80 32119
CAMDEN 5 1537 8 76 15 4312
CARTERET 57 12093 64 373 80 30028
CASWELL 8 4860 19 64 11 7089
CATAWBA 130 25689 194 652 172 56588
CHATHAM 60 26787 90 366 110 21186
CHEROKEE 39 3583 49 95 29 12628
CHOWAN 5 3247 7 47 7 4471
CLAY 11 1699 14 46 11 5112
CLEVELAND 74 16955 81 329 71 33798
COLUMBUS 33 9446 23 88 24 16832
CRAVEN 73 21148 92 626 94 31032
CUMBERLAND 244 84469 423 1645 337 60032
CURRITUCK 24 4195 29 209 33 11657
DARE 31 9936 47 223 57 13938
DAVIDSON 189 22636 187 703 141 64658
DAVIE 32 6713 53 213 72 18228
DUPLIN 17 8767 33 84 21 13793
DURHAM 206 144688 519 1504 538 32459
EDGECOMBE 27 16089 33 97 25 9206
FORSYTH 298 113033 499 1785 591 85064
FRANKLIN 73 15879 75 333 90 20901
GASTON 142 40959 225 910 229 73033
GATES 7 2546 4 41 6 3367
GRAHAM 13 905 5 26 6 3710
GRANVILLE 31 14565 55 244 56 16647
GREENE 4 3832 8 26 9 4874
GUILFORD 423 173086 704 2232 747 107294
HALIFAX 24 15545 31 62 17 10080
HARNETT 80 22093 125 708 110 35177
HAYWOOD 56 13144 89 334 85 22834
HENDERSON 131 27211 175 670 152 40032
HERTFORD 7 7097 9 28 14 3479
HOKE 31 11804 50 262 39 9453
HYDE 1 1046 6 17 4 1418
IREDELL 150 33888 178 907 238 67010
JACKSON 58 9591 102 257 64 11356
JOHNSTON 150 41257 215 1164 218 68353
JONES 5 2197 5 34 4 3280
LEE 47 12143 65 235 49 16469
LENOIR 30 13605 29 126 29 14590
LINCOLN 59 13274 87 373 83 36341
MACON 24 6230 31 169 78 14211
MADISON 19 4901 37 103 37 7979
MARTIN 16 5911 13 59 9 6532
MCDOWELL 21 5832 45 184 38 16883
MECKLENBURG 763 378107 1611 5427 1934 179211
MITCHELL 12 1867 11 47 14 7090
MONTGOMERY 11 4327 13 78 9 8411
MOORE 70 20779 85 520 121 36764
NASH 56 25947 75 287 79 25827
"NEW HANOVER" 171 66138 362 1521 307 63331
NORTHAMPTON 7 6069 10 30 5 3989
ONSLOW 100 24266 136 1506 149 46078
ORANGE 82 63594 217 653 275 20176
PAMLICO 5 2713 10 44 10 4849
PASQUOTANK 36 9832 48 161 50 9770
PENDER 46 11723 63 329 52 21956
PERQUIMANS 16 2492 18 44 11 4903
PERSON 36 8465 42 144 23 13184
PITT 125 47252 210 796 208 38982
POLK 17 4518 23 86 25 7689
RANDOLPH 75 15618 123 506 100 56894
RICHMOND 24 8754 35 99 21 11830
ROBESON 61 19020 73 161 67 27806
ROCKINGHAM 55 15992 75 312 74 31301
ROWAN 99 23114 154 577 167 49297
RUTHERFORD 53 9135 60 218 72 24891
SAMPSON 29 10966 23 143 46 17411
SCOTLAND 14 7186 31 54 17 7473
STANLY 48 8129 32 225 47 25458
STOKES 29 5286 30 180 34 20142
SURRY 42 8721 45 235 57 27538
SWAIN 19 2780 19 72 17 4161
TRANSYLVANIA 34 8444 50 180 60 11636
TYRRELL 2 758 2 8 3 1044
UNION 171 48725 238 1136 359 80382
VANCE 34 12431 24 94 25 8391
WAKE 884 393336 1612 7514 2287 226197
WARREN 32 6400 29 63 17 3752
WASHINGTON 7 3396 2 17 2 2781
WATAUGA 43 17122 103 386 115 14451
WAYNE 71 24215 92 378 72 30709
WILKES 57 7511 40 214 52 27592
WILSON 41 20754 56 245 58 19581
YADKIN 33 3763 28 131 35 15933
YANCEY 18 3688 27 82 21 7516
