COUNTY CST DEM LIB REP
COUNTY CST DEM LIB REP
ALAMANCE 922 38038 2302 44246
ALEXANDER 455 4287 563 14739
ALLEGHANY 146 1587 192 4082
ANSON 167 5756 204 4981
ASHE 281 4279 457 10619
AVERY 131 2079 246 6865
BEAUFORT 453 9439 706 15448
BERTIE 114 5825 158 3597
BLADEN 235 7280 399 8967
BRUNSWICK 1170 32180 2881 52971
BUNCOMBE 1636 92664 5054 60688
BURKE 819 13108 1309 28934
CABARRUS 1724 48886 4261 61231
CALDWELL 799 10288 1299 29971
CAMDEN 71 1403 183 4181
CARTERET 601 11823 1312 28492
CASWELL 124 4916 278 6643
CATAWBA 1484 24845 2550 54004
CHATHAM 431 25697 1171 21039
CHEROKEE 241 3589 408 12048
CHOWAN 73 3124 139 4353
CLAY 98 1676 140 4897
CLEVELAND 768 16752 1235 32022
COLUMBUS 424 9599 516 15563
CRAVEN 791 20416 1772 29542
CUMBERLAND 2218 81001 5379 57121
CURRITUCK 175 3849 554 11368
DARE 204 9284 766 13581
DAVIDSON 1346 23660 2496 60686
DAVIE 396 6570 781 17415
DUPLIN 312 8689 477 12954
DURHAM 1224 138429 5041 34152
EDGECOMBE 278 15952 506 8582
FORSYTH 2471 107277 6533 83228
FRANKLIN 565 15659 1246 19654
GASTON 1660 39595 3548 69398
GATES 74 2474 132 3205
GRAHAM 87 1013 94 3355
GRANVILLE 396 14368 908 15687
GREENE 77 3842 189 4591
GUILFORD 2819 165823 8587 104908
HALIFAX 237 15438 456 9446
HARNETT 911 21523 2128 33321
HAYWOOD 587 13113 1081 21502
HENDERSON 768 25782 1964 39359
HERTFORD 118 6815 154 3305
HOKE 370 11466 909 8638
HYDE 26 1075 53 1315
IREDELL 1687 31893 3487 64319
JACKSON 306 9382 788 10763
JOHNSTON 1667 39771 3953 64822
JONES 102 2124 182 3046
LEE 465 11851 979 15419
LENOIR 346 13284 591 13898
LINCOLN 763 12858 1482 34673
MACON 340 6248 521 13408
MADISON 195 4987 362 7399
MARTIN 160 5973 257 6034
MCDOWELL 354 5934 565 15894
MECKLENBURG 5440 350775 19764 186693
MITCHELL 107 1919 181 6735
MONTGOMERY 256 4379 324 7741
MOORE 748 19633 1760 35682
NASH 585 25474 1117 24719
"NEW HANOVER" 1685 61702 5516 61415
NORTHAMPTON 99 6005 187 3720
ONSLOW 1363 23344 3627 42868
ORANGE 488 61214 1961 20862
PAMLICO 123 2681 188 4589
PASQUOTANK 198 9421 538 9491
PENDER 553 11272 1274 20660
PERQUIMANS 88 2382 139 4817
PERSON 315 8475 600 12192
PITT 846 45598 2510 37947
POLK 136 4436 286 7394
RANDOLPH 1143 15973 2097 53357
RICHMOND 352 8510 566 11002
ROBESON 648 19135 955 25211
ROCKINGHAM 680 16189 1473 28971
ROWAN 1433 22615 2254 46446
RUTHERFORD 554 9136 781 23596
SAMPSON 385 10818 636 16521
SCOTLAND 223 6850 322 7066
STANLY 674 8045 961 23891
STOKES 458 5611 812 18599
SURRY 531 9267 1030 25475
SWAIN 131 2696 298 3846
TRANSYLVANIA 286 8158 552 11209
TYRRELL 24 778 37 945
UNION 1338 45096 3765 79645
VANCE 237 12247 455 7876
WAKE 4893 367718 22230 232388
WARREN 112 6437 194 3520
WASHINGTON 104 3329 128 2584
WATAUGA 331 16193 1138 14216
WAYNE 823 23528 1419 29174
WILKES 587 8074 924 25488
WILSON 439 20445 885 18642
YADKIN 381 4036 553 14798
YANCEY 159 3833 250 7038
