COUNTY DEM REP NOP OTH
COUNTY Democratic Republican NoParty Other
ADAMS 22714.224341477853 46181.77565852215 0 3461
ALLEGHENY 600158.6766926232 297897.3233073768 0 44300
ARMSTRONG 14774.421251797472 28101.578748202526 0 1951
BEAVER 59316.83673610221 51639.16326389779 0 5947
BEDFORD 7764.4860147756235 25354.513985224377 0 1125
BERKS 134397.87080672584 125346.12919327416 0 12507
BLAIR 24122.30486422133 53050.695135778675 0 3327
BRADFORD 10352.917990986718 26504.082009013284 0 2006
BUCKS 237162.2145172491 225492.78548275091 0 25382
BUTLER 48066.504709321205 87741.4952906788 0 7403
CAMBRIA 41502.10794101252 44306.89205898748 0 2481
CAMERON 1011.2610294117648 1933.7389705882354 0 170
CARBON 19956.933548452154 24438.066451547846 0 2599
CENTRE 54901.89874497114 52220.10125502886 0 4976
CHESTER 179141.7012726569 176915.2987273431 0 24180
CLARION 7439.995287595288 16114.004712404712 0 835
CLEARFIELD 16682.265467429817 30789.734532570183 0 2262
CLINTON 8369.657546879804 13102.342453120196 0 910
COLUMBIA 15428.682503102287 22710.317496897715 0 1781
CRAWFORD 20123.081307374156 34009.91869262585 0 2462
CUMBERLAND 72916.4271932623 105420.5728067377 0 8997
DAUPHIN 101425.8368867581 87272.1631132419 0 9116
DELAWARE 228226.5541066663 176367.4458933337 0 20923
ELK 8197.765344742471 11454.234655257529 0 937
ERIE 109855.36071175443 82825.63928824557 0 9944
FAYETTE 42811.57546675269 37098.42453324731 0 2537
FOREST 1236.016 2113.984 0 159
FRANKLIN 28196.070957363085 69148.92904263691 0 3655
FULTON 2161.997280145059 7334.0027198549415 0 353
GREENE 10869.903381172464 11182.096618827536 0 760
HUNTINGDON 8106.100019611688 19559.899980388313 0 765
INDIANA 19734.505455591705 29857.494544408295 0 2205
JEFFERSON 8994.913135443841 21518.086864556157 0 1512
JUNIATA 3649.5813774528665 10444.418622547133 0 394
LACKAWANNA 94289.12393451495 51615.87606548505 0 3514
LANCASTER 129786.37876274477 204098.62123725523 0 20321
LAWRENCE 26257.50369815191 28847.49630184809 0 2308
LEBANON 31103.219544164618 57307.78045583538 0 4229
LEHIGH 140422.35485430493 100681.64514569507 0 8334
LUZERNE 117917.69830547168 95756.30169452832 0 7223
LYCOMING 23149.864593608592 47252.135406391404 0 3366
McKEAN 7177.587475327472 17400.412524672527 0 1274
MERCER 32695.246370131368 39874.75362986863 0 2347
MIFFLIN 7263.627780970363 19346.372219029636 0 760
MONROE 63845.09295074369 47315.90704925631 0 7169
MONTGOMERY 337123.34191059094 236658.65808940906 0 35429
MONTOUR 5508.338309306491 7916.661690693509 0 588
NORTHAMPTON 119734.7071210259 95107.2928789741 0 12598
NORTHUMBERLAND 21098.837447357284 33547.162552642716 0 2965
PERRY 7283.5257386536705 21744.47426134633 0 1007
PHILADELPHIA 948490.2201715951 144531.77982840483 0 36316
PIKE 17557.88497612551 24067.11502387449 0 3045
POTTER 2513.5039761431412 8456.496023856858 0 340
SCHUYLKILL 32826.30228462094 53123.69771537906 0 4474
SNYDER 5923.558011847999 16941.441988152 0 837
SOMERSET 14822.172756128857 32961.82724387114 0 1478
SULLIVAN 1379.8657718120805 2780.1342281879197 0 169
SUSQUEHANNA 7954.478608607338 17908.521391392664 0 1365
TIOGA 6693.225791294691 19279.77420870531 0 945
UNION 9016.08371308786 16024.91628691214 0 1215
VENANGO 10685.95504302926 21205.04495697074 0 1459
WARREN 10644.305203884964 18395.694796115036 0 2393
WASHINGTON 74104.51439048373 75405.48560951627 0 4513
WAYNE 11430.510971995605 22982.489028004395 0 1281
WESTMORELAND 112321.063517098 130038.936482902 0 11522
WYOMING 5786.583215144601 11737.416784855399 0 824
YORK 117120.21091697545 184454.78908302455 0 9620
