COUNTY DISTRICT REP DEM CON WRI
COUNTY DISTRICT REP DEM CON WRI
Beaufort 1 50358 41809 0 66
Berkeley 1 50944 40823 0 130
Charleston 1 78962 96142 0 162
Colleton 1 682 275 0 0
Dorchester 1 35096 31578 0 84
Aiken 2 52331 31367 1288 51
Barnwell 2 5386 4807 117 1
Lexington 2 92872 48515 2806 86
Orangeburg 2 4494 4464 83 0
Richland 2 47632 65965 1869 81
Abbeville 3 8437 3938 0 12
Anderson 3 70455 25106 0 73
Edgefield 3 8428 4859 0 4
Greenville 3 21453 12437 0 26
Greenwood 3 20416 11410 0 30
Laurens 3 20692 9702 0 34
McCormick 3 3092 2607 0 2
Newberry 3 2458 968 0 0
Oconee 3 30983 9426 0 50
Pickens 3 44754 12416 0 72
Saluda 3 6376 2843 0 5
Greenville 4 135460 83995 3061 190
Spartanburg 4 86666 49028 2029 121
Cherokee 5 18232 6914 0 18
Chester 5 8798 6898 0 7
Fairfield 5 4770 7315 0 12
Kershaw 5 21212 12207 0 24
Lancaster 5 31493 18161 0 22
Lee 5 3056 5359 0 11
Newberry 5 9433 5650 0 5
Richland 5 1 21 0 0
Spartanburg 5 7932 1935 0 5
Sumter 5 19844 20251 0 42
Union 5 8191 4963 0 16
York 5 87044 56305 0 111
Allendale 6 812 2778 24 2
Bamberg 6 2274 4159 43 4
Beaufort 6 2034 3370 53 5
Berkeley 6 4762 7439 132 14
Calhoun 6 4177 4016 80 4
Charleston 6 11403 31477 496 55
Clarendon 6 8110 8465 113 9
Colleton 6 9435 8602 243 11
Dorchester 6 5331 4846 122 27
Florence 6 2578 3750 58 1
Hampton 6 3676 5513 73 4
Jasper 6 7059 7123 146 6
Orangeburg 6 8611 23346 184 30
Richland 6 11940 65124 718 81
Sumter 6 1726 6925 58 5
Williamsburg 6 5330 10544 103 14
Chesterfield 7 11456 7371 0 10
Darlington 7 17502 14850 0 27
Dillon 7 6710 6337 0 7
Florence 7 31732 26400 0 30
Georgetown 7 21740 14812 0 19
Horry 7 124568 54244 0 133
Marion 7 6072 8617 0 5
Marlboro 7 5213 6232 0 4
