COUNTY GRN REP ALN LIB DEM
COUNTY Hawkins TRUMP "De La Fuente" Jorgensen BIDEN
Abbeville 23 8215 6 88 4101
Aiken 274 51589 65 982 32275
Allendale 19 835 2 19 2718
Anderson 178 67565 58 1123 27169
Bamberg 17 2417 7 31 4010
Barnwell 19 5492 12 78 4720
Beaufort 214 53194 67 941 43419
Berkeley 276 57397 77 1485 45223
Calhoun 18 4305 5 58 3905
Charleston 743 93297 155 3177 121485
Cherokee 48 18043 10 186 6983
Chester 37 8660 11 108 6941
Chesterfield 28 11297 11 109 7431
Clarendon 42 8361 13 67 8250
Colleton 56 10440 7 178 8602
Darlington 77 16832 28 260 15220
Dillon 36 6582 9 38 6436
Dorchester 239 41913 83 1219 33824
Edgefield 39 8184 8 120 4953
Fairfield 41 4625 10 78 7382
Florence 194 32615 45 503 31153
Georgetown 93 20487 29 237 15822
Greenville 698 150021 227 4179 103030
Greenwood 95 19431 17 318 12145
Hampton 22 3906 10 44 5323
Horry 397 118821 91 1255 59180
Jasper 32 7078 7 92 7185
Kershaw 90 20471 25 344 12699
Lancaster 93 30312 34 492 18937
Laurens 67 20004 20 238 10159
Lee 18 3008 5 71 5329
Lexington 397 92817 118 1935 49301
Marion 40 5711 18 63 8872
Marlboro 33 5044 10 69 6290
McCormick 20 2958 4 28 2687
Newberry 60 11443 18 152 6958
Oconee 88 29698 25 443 10414
Orangeburg 106 13603 29 172 27295
Pickens 162 42907 39 793 13645
Richland 732 58313 180 2027 132570
Saluda 21 6210 5 75 2963
Spartanburg 377 93560 90 1702 52926
Sumter 152 21000 34 355 27379
Union 36 8183 7 96 4935
Williamsburg 62 5532 21 81 10289
York 398 82727 110 1807 59008
