COUNTY CON REP DEM WRI
COUNTY Bledsoe GRAHAM HARRISON Write-In
Abbeville 182 8025 4232 11
Aiken 1255 51080 32829 79
Allendale 19 833 2773 2
Anderson 1305 66655 28075 98
Bamberg 44 2373 4060 2
Barnwell 128 5378 4806 8
Beaufort 851 53575 43489 62
Berkeley 1800 56358 46233 95
Calhoun 123 4201 3975 5
Charleston 2196 95401 121517 183
Cherokee 485 17481 7265 16
Chester 270 8247 7225 8
Chesterfield 275 10878 7706 15
Clarendon 172 8141 8391 23
Colleton 364 10068 8839 22
Darlington 395 16456 15563 32
Dillon 130 6297 6663 6
Dorchester 1345 41178 34616 99
Edgefield 217 7988 5104 8
Fairfield 115 4556 7463 5
Florence 650 32217 31748 36
Georgetown 340 20495 15867 22
Greenville 3116 149991 104980 319
Greenwood 466 19017 12504 46
Hampton 82 3755 5459 5
Horry 2471 116512 60530 131
Jasper 170 6939 7302 5
Kershaw 581 20104 12904 45
Lancaster 717 29572 19523 37
Laurens 487 19486 10498 37
Lee 70 2939 5426 3
Lexington 2349 91944 50256 132
Marion 121 5562 9034 11
Marlboro 169 4775 6504 14
McCormick 41 2933 2746 5
Newberry 277 11239 7094 16
Oconee 633 29454 10576 34
Orangeburg 299 13221 27720 19
Pickens 900 42505 14066 71
Richland 1509 58894 133642 142
Saluda 149 6107 3023 7
Spartanburg 2385 91594 54475 197
Sumter 604 20524 27791 41
Union 249 7868 5105 15
Williamsburg 107 5409 10493 9
York 2232 80912 60738 116
