COUNTY REP DEM LIB
COUNTY Abbott Valdez Tippetts
ANDERSON 11732 2868 151
ANDREWS 3400 687 38
ANGELINA 19701 6406 244
ARANSAS 7075 1797 108
ARCHER 3259 323 28
ARMSTRONG 822 59 14
ATASCOSA 8361 3655 158
AUSTIN 9009 1897 123
BAILEY 1241 348 17
BANDERA 7866 1602 120
BASTROP 16351 10407 640
BAYLOR 1090 129 15
BEE 4827 2261 90
BELL 51157 33803 1438
BEXAR 251043 285502 9852
BLANCO 4329 1351 115
BORDEN 321 17 1
BOSQUE 5948 1104 106
BOWIE 20651 7357 281
BRAZORIA 70373 39536 1637
BRAZOS 39424 23361 1383
BREWSTER 2033 1933 96
BRISCOE 556 58 9
BROOKS 658 1198 12
BROWN 10640 1458 142
BURLESON 5254 1277 68
BURNET 14497 3712 340
CALDWELL 6723 4509 225
CALHOUN 4409 1627 82
CALLAHAN 4475 486 54
CAMERON 34407 41991 1113
CAMP 2816 1028 41
CARSON 2209 208 36
CASS 8323 1890 76
CASTRO 1226 371 18
CHAMBERS 12505 2460 203
CHEROKEE 11943 2938 154
CHILDRESS 1546 206 13
CLAY 3807 449 30
COCHRAN 550 122 7
COKE 1187 118 15
COLEMAN 2774 328 28
COLLIN 208075 139175 6444
COLLINGSWORTH 827 101 11
COLORADO 5992 1558 63
COMAL 46635 14145 1015
COMANCHE 3906 657 50
CONCHO 825 145 13
COOKE 12294 2054 164
CORYELL 11281 4392 258
COTTLE 468 88 3
CRANE 842 197 8
CROCKETT 921 333 12
CROSBY 1005 392 20
CULBERSON 324 422 11
DALLAM 985 129 8
DALLAS 283659 425208 15030
DAWSON 2240 739 30
"DEAF SMITH" 2788 957 28
DELTA 1606 301 29
DENTON 174472 113808 6194
DEWITT 5115 942 62
DICKENS 656 96 6
DIMMIT 1042 1787 22
DONLEY 1130 134 20
DUVAL 1479 2457 22
EASTLAND 5434 708 57
ECTOR 21934 8211 412
EDWARDS 635 100 7
ELLIS 43647 15879 975
"EL PASO" 62749 134181 3699
ERATH 10356 2073 167
FALLS 3344 1286 39
FANNIN 8856 1767 131
FAYETTE 8576 1777 108
FISHER 1161 310 17
FLOYD 1448 412 17
FOARD 331 101 4
"FORT BEND" 125867 125374 3613
FRANKLIN 3359 537 59
FREESTONE 5336 1143 60
FRIO 1844 1739 51
GAINES 3305 475 53
GALVESTON 72104 39314 2017
GARZA 1078 186 13
GILLESPIE 10351 2030 164
GLASSCOCK 515 36 2
GOLIAD 2397 617 48
GONZALES 4393 1170 52
GRAY 5330 551 67
GRAYSON 32562 9857 608
GREGG 25558 10015 408
GRIMES 6684 1858 102
GUADALUPE 36284 17265 854
HALE 5532 1727 114
HALL 815 142 7
HAMILTON 2903 405 30
HANSFORD 1548 118 25
HARDEMAN 997 154 6
HARDIN 17528 2327 155
HARRIS 559819 628804 18094
HARRISON 16747 5562 257
HARTLEY 1491 125 7
HASKELL 1387 267 14
HAYS 37895 39486 2144
HEMPHILL 1199 152 14
HENDERSON 21775 4622 306
HIDALGO 55421 93935 1670
HILL 9262 2052 116
HOCKLEY 4947 1030 95
HOOD 20865 3765 310
HOPKINS 9533 2218 129
HOUSTON 5659 1641 50
HOWARD 5737 1542 92
HUDSPETH 538 335 13
HUNT 22078 5946 389
HUTCHINSON 5874 687 79
IRION 641 87 9
JACK 2539 246 26
JACKSON 4016 715 27
JASPER 9732 1990 86
"JEFF DAVIS" 719 407 39
JEFFERSON 38999 34516 751
"JIM HOGG" 509 938 8
"JIM WELLS" 5088 4616 77
JOHNSON 41485 10105 774
JONES 4167 757 57
KARNES 3023 1054 46
KAUFMAN 27491 10294 559
KENDALL 16076 3382 286
KENEDY 111 57 3
KENT 299 34 4
KERR 17566 4268 298
KIMBLE 1529 161 23
KING 120 6 1
KINNEY 890 290 11
KLEBERG 4831 3629 99
KNOX 866 217 11
LAMAR 13103 3231 200
LAMB 2785 629 35
LAMPASAS 6073 1343 101
LASALLE 728 725 7
LAVACA 6856 830 45
LEE 4650 1129 57
LEON 5781 751 51
LIBERTY 16527 3816 203
LIMESTONE 5330 1535 52
LIPSCOMB 947 109 8
"LIVE OAK" 3114 504 29
LLANO 8287 1751 138
LOVING 47 9 0
LUBBOCK 61775 27266 2133
LYNN 1380 302 14
MADISON 3081 722 29
MARION 2553 939 33
MARTIN 1303 229 14
MASON 1605 333 21
MATAGORDA 7705 2673 106
MAVERICK 3495 6940 126
MCCULLOCH 2275 368 33
MCLENNAN 49195 24734 1079
MCMULLEN 395 33 1
MEDINA 12057 3964 166
MENARD 646 130 4
MIDLAND 34049 8101 692
MILAM 6080 1795 115
MILLS 1790 206 18
MITCHELL 1595 298 14
MONTAGUE 6563 765 80
MONTGOMERY 144664 43044 2602
MOORE 3268 750 40
MORRIS 3018 1159 44
MOTLEY 458 35 4
NACOGDOCHES 14411 6843 264
NAVARRO 10818 3411 179
NEWTON 3771 870 29
NOLAN 3200 807 51
NUECES 52918 39720 1312
OCHILTREE 2169 212 26
OLDHAM 742 62 5
ORANGE 21724 4348 214
"PALO PINTO" 7811 1529 90
PANOLA 7182 1494 61
PARKER 45981 8099 745
PARMER 1680 352 14
PECOS 2299 1167 37
POLK 13130 3378 220
POTTER 17299 6674 389
PRESIDIO 465 1157 30
RAINS 3810 566 31
RANDALL 39586 8065 717
REAGAN 697 127 12
REAL 1341 213 12
"RED RIVER" 3476 904 26
REEVES 1210 1123 24
REFUGIO 1726 751 19
ROBERTS 448 16 5
ROBERTSON 4448 1753 52
ROCKWALL 28582 9432 622
RUNNELS 2885 345 28
RUSK 12864 3233 147
SABINE 3477 458 23
"SAN AUGUSTINE" 2296 684 20
"SAN JACINTO" 7722 1529 84
"SAN PATRICIO" 12173 5842 201
"SAN SABA" 1835 211 13
SCHLEICHER 758 187 12
SCURRY 3750 577 41
SHACKELFORD 1190 87 8
SHELBY 6132 1366 44
SHERMAN 701 74 42
SMITH 55708 20623 898
SOMERVELL 3143 499 42
STARR 3217 6968 95
STEPHENS 2653 291 24
STERLING 445 39 4
STONEWALL 503 96 11
SUTTON 939 248 12
SWISHER 1491 368 26
TARRANT 340404 273814 11676
TAYLOR 31152 8880 673
TERRELL 316 136 3
TERRY 2221 552 29
THROCKMORTON 625 63 9
TITUS 5861 2017 98
"TOM GREEN" 25792 8373 488
TRAVIS 145910 320550 13360
TRINITY 4293 835 41
TYLER 6079 973 67
UPSHUR 11638 2177 194
UPTON 860 148 8
UVALDE 4755 3070 80
"VAL VERDE" 5993 5241 131
"VAN ZANDT" 15609 2150 190
VICTORIA 19599 7245 303
WALKER 12199 5331 266
WALLER 10639 5791 170
WARD 2201 690 35
WASHINGTON 10532 2730 208
WEBB 16287 32055 569
WHARTON 9472 3332 107
WHEELER 1682 126 13
WICHITA 24817 8614 489
WILBARGER 2722 685 50
WILLACY 1931 2257 38
WILLIAMSON 112214 90002 5297
WILSON 13704 3800 199
WINKLER 1150 284 19
WISE 19633 3184 303
WOOD 14406 2324 151
YOAKUM 1558 303 32
YOUNG 5579 726 87
ZAPATA 861 1292 15
ZAVALA 748 2082 20
