COUNTY DISTRICT DEM GRE IND LIB REP WRI
COUNTY DISTRICT DEM GRE IND LIB REP WRI
ANDERSON " 5" 3915 NA NA 264 14881 NA
ANDREWS " 11" 798 NA NA 109 4893 NA
ANGELINA " 1" 9126 NA NA NA 25259 NA
ARANSAS " 27" 2460 NA NA 221 9358 NA
ARCHER " 13" 404 NA NA 71 4229 NA
ARMSTRONG " 13" 69 NA NA 16 1025 NA
ATASCOSA " 28" 7587 NA NA 257 10082 NA
AUSTIN " 10" 2608 NA NA 245 11629 NA
BAILEY " 19" 333 NA NA 43 1450 NA
BANDERA " 21" 2338 118 NA 206 9861 NA
BASTROP " 10" 8702 NA NA 560 11612 NA
BASTROP " 17" 159 NA NA 22 336 NA
BASTROP " 27" 5749 NA NA 398 8679 NA
BAYLOR " 13" 167 NA NA 40 1480 NA
BEE " 34" 3259 NA 128 131 5462 NA
BELL " 25" 7993 NA NA 351 3566 NA
BELL " 31" 45047 NA NA 2383 66858 77
BEXAR " 20" 175078 NA NA 6017 89628 NA
BEXAR " 21" 67124 1072 NA 2534 70273 NA
BEXAR " 23" 75660 NA NA 4664 78872 NA
BEXAR " 28" 39324 NA NA 2151 31640 NA
BEXAR " 35" 69564 NA 2472 2357 31471 NA
BLANCO " 21" 1829 74 NA 101 5367 NA
BORDEN " 19" 18 NA NA 3 390 NA
BOSQUE " 25" 1477 NA NA 130 7411 NA
BOWIE " 4" 10257 NA NA 573 26416 570
BRAZORIA " 14" 18700 NA NA NA 45245 NA
BRAZORIA " 22" 38962 NA NA 4477 44332 NA
BRAZOS " 17" 31778 NA NA 3256 47340 NA
BREWSTER " 23" 2249 NA NA 138 2382 NA
BRISCOE " 13" 77 NA NA 10 637 NA
BROOKS " 15" 1553 NA NA 26 784 NA
BROWN " 11" 1911 NA NA 251 13470 NA
BURLESON " 17" 1704 NA NA 151 6585 NA
BURNET " 25" 5183 NA NA 490 18576 NA
CALDWELL " 27" 2867 NA NA 186 4976 NA
CALDWELL " 35" 3841 NA 88 142 2749 NA
CALHOUN " 27" 1955 NA NA 92 5647 NA
CALLAHAN " 11" 653 NA NA 120 5840 NA
CAMERON " 34" 68852 NA 1195 1847 39961 NA
CAMP " 4" 1315 NA NA 69 3575 14
CARSON " 13" 306 NA NA 70 2731 NA
CASS " 4" 2623 NA NA 171 10575 161
CASTRO " 19" 399 NA NA 25 1588 NA
CHAMBERS " 14" 0 NA NA NA 0 NA
CHAMBERS " 36" 3464 99 NA 362 17305 NA
CHEROKEE " 5" 3972 NA NA 299 14915 NA
CHILDRESS " 13" 272 NA NA 32 1957 NA
CLAY " 13" 592 NA NA 110 4977 NA
COCHRAN " 19" 163 NA NA 17 808 NA
COKE " 11" 158 NA NA 46 1534 NA
COLEMAN " 11" 400 NA NA 43 3611 NA
COLLIN " 3" 179458 NA NA 8621 230512 NA
COLLIN " 32" 11499 NA 152 455 15438 NA
COLLIN " 4" 6808 NA NA 671 21582 2
COLLINGSWORTH " 13" 135 NA NA 14 1035 NA
COLORADO " 10" 2299 NA NA 120 7423 NA
COMAL " 21" 16795 479 NA 1138 52400 NA
COMAL " 35" 6152 NA 301 506 9882 NA
COMANCHE " 11" 805 NA NA 100 5006 NA
CONCHO " 11" 172 NA NA 22 1052 NA
COOKE " 13" 2818 NA NA 459 15418 NA
CORYELL " 25" 7074 NA NA 647 15475 NA
COTTLE " 13" 112 NA NA 6 543 NA
CRANE " 23" 259 NA NA 31 1191 NA
CROCKETT " 23" 340 NA NA 24 1139 NA
CROSBY " 19" 435 NA NA 31 1422 NA
CULBERSON " 23" 429 NA NA 24 350 NA
DALLAM " 13" 200 NA NA 26 1371 NA
DALLAS " 24" 78752 NA 2990 2322 59192 NA
DALLAS " 26" 109 NA NA 2 126 NA
DALLAS " 30" 204928 NA 10851 NA 48685 NA
DALLAS " 32" 167043 NA 2180 4491 142429 NA
DALLAS " 33" 49388 NA 6591 1358 21355 NA
DALLAS " 5" 64483 NA NA 2880 43306 NA
DAWSON " 11" 826 NA NA 51 2697 NA
"DEAF SMITH" " 13" 1268 NA NA 65 3207 NA
DELTA " 4" 366 NA NA 36 2065 3
DENTON " 24" 30802 NA 1251 1011 27981 NA
DENTON " 26" 133571 NA NA 7243 206644 NA
DEWITT " 34" 1335 NA 76 70 6300 NA
DICKENS " 13" 123 NA NA 9 828 NA
DIMMIT " 23" 2242 NA NA 78 1248 NA
DONLEY " 13" 178 NA NA 29 1419 NA
DUVAL " 15" 2815 NA NA 76 1642 NA
EASTLAND " 11" 899 NA NA 142 6979 NA
ECTOR " 11" 10501 NA NA 981 31848 NA
EDWARDS " 23" 154 NA NA 12 833 NA
"EL PASO" " 16" 154108 NA NA NA 84006 NA
"EL PASO" " 23" 16776 NA NA 1031 6289 NA
ELLIS " 6" 24595 NA NA 2653 56889 NA
ERATH " 11" 1351 NA NA 226 7453 NA
ERATH " 25" 1289 NA NA 143 5960 NA
FALLS " 17" 1771 NA NA 99 4149 NA
FANNIN " 4" 2398 NA NA 287 11825 14
FAYETTE " 10" 2460 NA NA 135 10195 NA
FISHER " 19" 326 NA NA 29 1451 NA
FLOYD " 13" 139 NA NA 10 688 NA
FLOYD " 19" 240 NA NA 18 892 NA
FOARD " 13" 95 NA NA 4 415 NA
"FORT BEND" " 22" 123293 NA NA 9023 144974 NA
"FORT BEND" " 9" 51362 NA NA 1795 13941 NA
FRANKLIN " 4" 723 NA NA 68 4049 35
FREESTONE " 17" 1509 NA NA 147 6899 NA
FRIO " 23" 2483 NA NA 131 2470 NA
GAINES " 19" 498 NA NA 96 5148 NA
GALVESTON " 14" 55672 NA NA NA 97136 NA
GARZA " 19" 199 NA NA 19 1395 NA
GILLESPIE " 21" 3033 93 NA 221 12339 NA
GLASSCOCK " 11" 32 NA NA 5 612 NA
GOLIAD " 34" 850 NA 50 37 2938 NA
GONZALES " 27" 1343 NA NA 68 3906 NA
GONZALES " 34" 404 NA 23 27 1704 NA
GRAY " 13" 787 NA NA 156 6741 NA
GRAYSON " 4" 13031 NA NA 1085 44475 18
GREGG " 1" 14764 NA NA NA 32692 NA
GRIMES " 8" 2638 NA NA 204 9356 NA
GUADALUPE " 15" 20257 NA NA 1476 39862 NA
GUADALUPE " 35" 5648 NA 201 345 8266 NA
HALE " 19" 1898 NA NA 183 7306 NA
HALL " 13" 157 NA NA 17 961 NA
HAMILTON " 25" 578 NA NA 70 3583 NA
HANSFORD " 13" 170 NA NA 29 1814 NA
HARDEMAN " 13" 203 NA NA 17 1338 NA
HARDIN " 36" 3031 81 NA 357 23954 NA
HARRIS " 10" 60388 NA NA 3496 103180 NA
HARRIS " 18" 180952 NA 3396 4514 58033 NA
HARRIS " 2" 148374 NA NA 5524 192828 NA
HARRIS " 22" 19743 NA NA 2291 20953 NA
HARRIS " 29" 111305 NA NA 2328 42840 NA
HARRIS " 36" 46545 985 NA 2579 84721 NA
HARRIS " 7" 159529 NA NA 5542 149054 NA
HARRIS " 8" 15212 NA NA 926 25906 NA
HARRIS " 9" 121576 NA NA 4799 35634 NA
HARRISON " 1" 7761 NA NA NA 21577 NA
HARTLEY " 13" 174 NA NA 41 1856 NA
HASKELL " 19" 324 NA NA 23 1853 NA
HAYS " 21" 14124 314 NA 704 13138 NA
HAYS " 25" 14562 NA NA 745 20251 NA
HAYS " 35" 27096 NA 807 1429 14330 NA
HEMPHILL " 13" 182 NA NA 40 1472 NA
HENDERSON " 5" 6305 NA NA 619 29026 NA
HIDALGO " 15" 87193 NA NA 2569 56729 NA
HIDALGO " 28" 22024 NA NA 720 11514 NA
HIDALGO " 34" 18311 NA 367 640 10443 NA
HILL " 25" 2681 NA NA 195 11833 NA
HOCKLEY " 19" 1264 NA NA 135 6623 NA
HOOD " 11" 5066 NA NA 563 25967 NA
HOPKINS " 4" 2768 NA NA 284 12323 5
HOUSTON " 8" 2177 NA NA 110 7066 NA
HOWARD " 19" 1871 NA NA 208 7853 NA
HUDSPETH " 23" 411 NA NA 37 658 NA
HUNT " 4" 7994 NA NA 768 28593 13
HUTCHINSON " 13" 907 NA NA 208 7595 NA
IRION " 11" 109 NA NA 13 757 NA
JACK " 13" 297 NA NA 54 3313 NA
JACKSON " 27" 922 NA NA 87 5276 NA
JASPER " 36" 2749 27 NA 153 12537 NA
"JEFF DAVIS" " 23" 489 NA NA 25 769 NA
JEFFERSON " 14" 44202 NA NA NA 48160 NA
"JIM HOGG" " 15" 1398 NA NA 10 483 NA
"JIM WELLS" " 34" 6301 NA 136 159 6684 NA
JOHNSON " 25" 15316 NA NA 1203 54339 NA
JONES " 19" 866 NA NA 101 5650 NA
KARNES " 15" 1322 NA NA 61 3655 NA
KAUFMAN " 5" 16854 NA NA 1215 38131 NA
KENDALL " 21" 5538 139 NA 365 20302 NA
KENEDY " 34" 89 NA 2 2 75 NA
KENT " 19" 53 NA NA 4 386 NA
KERR " 21" 6097 215 NA 406 20693 NA
KIMBLE " 11" 231 NA NA 40 1963 NA
KING " 13" 4 NA NA 2 145 NA
KINNEY " 23" 420 NA NA 41 1088 NA
KLEBERG " 34" 5276 NA 111 148 5113 NA
KNOX " 13" 251 NA NA 17 1145 NA
LAMAR " 4" 4178 NA NA 314 16079 343
LAMB " 19" 735 NA NA 70 3580 NA
LAMPASAS " 25" 1979 NA NA 210 8109 NA
LASALLE " 23" 964 NA NA 49 942 NA
LASALLE " 28" 185 NA NA 5 109 NA
LAVACA " 27" 1118 NA NA 94 8783 NA
LEE " 10" 1120 NA NA 66 4164 NA
LEE " 17" 499 NA NA 63 2090 NA
LEON " 17" 531 NA NA 72 3875 NA
LEON " 8" 443 NA NA 40 3579 NA
LIBERTY " 36" 5228 117 NA 451 23128 NA
LIMESTONE " 17" 2084 NA NA 141 6782 NA
LIPSCOMB " 13" 120 NA NA 24 1177 NA
"LIVE OAK" " 15" 777 NA NA 53 4103 NA
LLANO " 11" 2208 NA NA 194 9986 NA
LOVING " 23" 6 NA NA 3 53 NA
LUBBOCK " 19" 33956 NA NA 3360 80707 NA
LYNN " 19" 364 NA NA 0 1905 NA
MADISON " 8" 1024 NA NA 67 4151 NA
MARION " 4" 1251 NA NA 76 3408 4
MARTIN " 11" 266 NA NA 32 1811 NA
MASON " 11" 419 NA NA 29 1980 NA
MATAGORDA " 27" 3438 NA NA 261 9677 NA
MAVERICK " 23" 8552 NA NA 349 5769 NA
MCCULLOCH " 11" 444 NA NA 88 2839 NA
MCLENNAN " 17" 33093 NA NA 2682 59653 NA
MCMULLEN " 28" 107 NA NA 0 392 NA
MEDINA " 23" 6131 NA NA 466 15636 NA
MENARD " 11" 186 NA NA 17 800 NA
MIDLAND " 11" 11141 NA NA 1250 45847 NA
MILAM " 17" 2320 NA NA 195 7799 NA
MILLS " 11" 240 NA NA 35 2189 NA
MITCHELL " 11" 354 NA NA 40 2132 NA
MONTAGUE " 13" 979 NA NA 164 8588 NA
MONTGOMERY " 8" 65242 NA NA 5593 196032 NA
MOORE " 13" 1080 NA NA 100 4275 NA
MORRIS " 4" 1624 NA NA 70 3737 5
MOTLEY " 13" 42 NA NA 6 592 NA
NACOGDOCHES " 1" 8729 NA NA NA 17329 NA
NAVARRO " 6" 4629 NA NA 466 13807 NA
NEWTON " 36" 1116 12 NA 48 4841 NA
NOLAN " 19" 1027 NA NA 74 4185 NA
NUECES " 27" 56104 NA NA 2892 65375 NA
OCHILTREE " 13" 278 NA NA 45 2793 NA
OLDHAM " 13" 81 NA NA 13 898 NA
ORANGE " 36" 5683 115 NA 492 29291 NA
"PALO PINTO" " 11" 2008 NA NA 211 9995 NA
PANOLA " 1" 2021 NA NA NA 9211 NA
PARKER " 12" 10519 NA NA 2671 61985 NA
PARMER " 19" 433 NA NA 45 2140 NA
PECOS " 23" 1542 NA NA 143 2936 NA
POLK " 36" 4472 100 NA 299 18599 NA
POTTER " 13" 9558 NA NA 809 22451 NA
PRESIDIO " 23" 1412 NA NA 59 603 NA
RAINS " 4" 777 NA NA 79 5035 0
RANDALL " 13" 12184 NA NA 1450 50515 NA
REAGAN " 23" 173 NA NA 24 878 NA
REAL " 21" 286 16 NA 21 1626 NA
"RED RIVER" " 4" 1151 NA NA 153 4333 0
REEVES " 23" 1504 NA NA 128 1845 NA
REFUGIO " 27" 988 NA NA 51 2134 NA
ROBERTS " 13" 19 NA NA 6 521 NA
ROBERTSON " 17" 2241 NA NA 142 5584 NA
ROCKWALL " 4" 14606 NA NA 1144 37324 48
RUNNELS " 11" 494 NA NA 75 3742 NA
RUSK " 1" 4669 NA NA NA 16591 NA
SABINE " 1" 681 NA NA NA 4701 NA
"SAN AUGUSTINE" " 1" 949 NA NA NA 2942 NA
"SAN JACINTO" " 8" 2131 NA NA 229 10000 NA
"SAN PATRICIO" " 27" 5051 NA NA 414 12493 NA
"SAN PATRICIO" " 34" 3398 NA 93 90 3664 NA
"SAN SABA" " 11" 259 NA NA 25 2258 NA
SCHLEICHER " 23" 200 NA NA 13 916 NA
SCURRY " 19" 731 NA NA 116 4957 NA
SHACKELFORD " 19" 104 NA NA 11 1492 NA
SHELBY " 1" 1991 NA NA NA 7942 NA
SHERMAN " 13" 95 NA NA 20 867 NA
SMITH " 1" 29949 NA NA NA 70001 NA
SOMERVELL " 25" 721 NA NA 75 4121 NA
STARR " 28" 11827 NA NA 236 3930 NA
STEPHENS " 11" 264 NA NA 29 2290 NA
STEPHENS " 19" 78 NA NA 11 1052 NA
STERLING " 11" 47 NA NA 6 570 NA
STONEWALL " 19" 111 NA NA 2 588 NA
SUTTON " 23" 303 NA NA 19 1221 NA
SWISHER " 13" 483 NA NA 41 1791 NA
TARRANT " 12" 108874 NA NA 8871 162333 NA
TARRANT " 24" 53772 NA 2897 2314 80737 NA
TARRANT " 25" 1157 NA NA 83 2397 NA
TARRANT " 26" 27329 NA NA 1998 55193 NA
TARRANT " 33" 55929 NA 3474 1228 18283 NA
