COUNTY REP DEM LIB GRN W-I1 W-I2 W-I3 W-I4 W-I5 W-I6 W-I7 W-I8 W-I9 W-I10 W-I11 W-I12 W-I13
COUNTY Trump Clinton Johnson Stein Valdivia Soltysik Kotlikoff Lee Maturen Moorehead Cubbler McMullin Steffes Fox Castle Hoefling Morrow
ANDERSON 13201 3369 308 57 0 0 0 0 2 0 0 31 0 0 9 0 0
ANDREWS 3927 836 147 18 0 0 0 0 0 0 0 13 0 0 2 0 0
ANGELINA 21668 7538 560 106 0 0 0 0 0 3 0 29 0 0 7 0 0
ARANSAS 7740 2465 238 41 0 0 3 0 0 0 0 18 0 0 1 6 0
ARCHER 3786 394 80 10 0 0 0 0 2 0 0 8 0 0 3 0 0
ARMSTRONG 924 70 18 5 0 0 0 0 0 0 0 3 0 1 0 0 0
ATASCOSA 8618 4651 308 65 0 0 0 0 0 0 1 24 0 0 6 0 0
AUSTIN 9637 2320 248 51 0 0 0 0 0 0 0 13 0 0 5 0 0
BAILEY 1344 397 39 5 2 0 0 0 1 0 0 4 1 0 0 0 0
BANDERA 8163 1726 262 66 0 0 0 0 0 0 0 0 0 0 1 0 0
BASTROP 16328 10569 1063 320 2 0 6 0 2 3 3 131 0 1 21 4 1
BAYLOR 1267 191 31 3 0 0 0 0 0 0 0 5 0 0 2 0 0
BEE 4744 3444 238 34 2 0 0 0 2 0 0 20 0 0 0 0 1
BELL 51998 37801 3824 812 2 2 7 1 17 8 6 441 0 2 52 18 3
BEXAR 240333 319550 20091 6645 15 2 27 0 47 6 23 2646 3 1 206 45 5
BLANCO 4212 1244 180 33 0 1 0 0 0 0 0 12 0 0 2 1 0
BORDEN 330 31 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0
BOSQUE 6339 1278 155 40 0 0 2 0 0 1 0 14 0 0 9 0 0
BOWIE 24924 8838 582 145 3 0 1 0 1 0 0 79 0 0 19 10 0
BRAZORIA 72791 43200 3768 806 0 1 6 2 9 2 3 504 0 0 70 17 2
BRAZOS 38738 23121 3813 536 2 1 10 1 60 0 5 843 0 1 73 7 0
BREWSTER 2077 1873 210 77 0 0 0 0 1 0 0 14 0 0 0 0 0
BRISCOE 625 91 14 4 0 0 0 0 0 0 0 2 0 0 0 0 0
BROOKS 613 1937 32 14 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN 12017 1621 253 65 0 0 0 0 0 0 0 60 0 0 9 1 0
BURLESON 5316 1491 118 20 0 0 2 0 0 0 0 10 0 0 2 1 0
BURNET 14638 3797 564 104 0 0 4 0 0 0 1 68 0 0 10 18 0
CALDWELL 6691 4795 446 105 0 0 4 0 5 0 1 33 0 0 7 5 0
