COUNTY DEM OTH REP
COUNTY Biden OTH Trump
ANDERSON 3955 162 15110
ANDREWS 850 70 4943
ANGELINA 9143 355 25076
ARANSAS 2916 135 9239
ARCHER 446 50 4300
ARMSTRONG 75 2 1035
ATASCOSA 5876 203 12039
AUSTIN 2951 156 11447
BAILEY 409 17 1434
BANDERA 2505 153 10057
BASTROP 15474 675 20516
BAYLOR 183 25 1494
BEE 3288 126 6006
BELL 57014 2468 67893
BEXAR 448452 13748 308618
BLANCO 1911 87 5443
BORDEN 16 3 397
BOSQUE 1561 96 7469
BOWIE 10747 398 27116
BRAZORIA 62228 2323 90433
BRAZOS 35349 2182 47530
BREWSTER 2258 103 2461
BRISCOE 78 8 639
BROOKS 1470 16 998
BROWN 2107 164 13698
BURLESON 1788 78 6743
BURNET 5639 311 18767
CALDWELL 6672 270 8031
CALHOUN 2148 67 5641
CALLAHAN 734 86 6012
CAMERON 64063 1079 49032
CAMP 1394 40 3626
CARSON 297 46 2779
CASS 2795 99 11033
CASTRO 466 15 1602
CHAMBERS 3997 302 17353
CHEROKEE 4210 197 15101
CHILDRESS 310 26 1943
CLAY 614 61 5069
COCHRAN 177 14 809
COKE 178 15 1586
COLEMAN 451 32 3641
COLLIN 230945 7593 252318
COLLINGSWORTH 155 15 1048
COLORADO 2420 83 7472
COMAL 24826 1326 62740
COMANCHE 853 56 5177
CONCHO 197 13 1058
COOKE 3210 190 15596
CORYELL 7565 490 15438
COTTLE 113 9 540
CRANE 241 15 1247
CROCKETT 344 10 1220
CROSBY 527 30 1396
CULBERSON 438 11 415
DALLAM 197 23 1389
DALLAS 598576 13852 307076
DAWSON 808 30 2951
"DEAF SMITH" 1264 52 3294
DELTA 403 27 2162
DENTON 188695 6789 222480
DEWITT 1494 57 6567
DICKENS 130 5 853
DIMMIT 2264 18 1384
DONLEY 198 12 1438
DUVAL 2575 35 2443
EASTLAND 983 73 7237
ECTOR 11367 527 32697
EDWARDS 168 5 893
"EL PASO" 178126 4272 84331
ELLIS 27565 1211 56717
ERATH 2916 256 13684
FALLS 1899 57 4177
FANNIN 2655 181 12171
FAYETTE 2661 109 10171
FISHER 352 26 1448
FLOYD 438 17 1584
FOARD 99 7 445
"FORT BEND" 195552 4244 157718
FRANKLIN 804 44 4161
FREESTONE 1635 85 6991
FRIO 2422 34 2823
GAINES 576 65 5355
GALVESTON 58842 2307 93911
GARZA 231 9 1413
GILLESPIE 3176 160 12514
GLASSCOCK 39 3 611
GOLIAD 877 33 3085
GONZALES 1948 73 5627
GRAY 829 113 6840
GRAYSON 14506 805 44163
GREGG 14796 693 32493
GRIMES 2833 149 9432
GUADALUPE 28805 1261 47553
HALE 2279 130 7177
HALL 168 6 995
HAMILTON 641 94 3616
HANSFORD 166 32 1849
HARDEMAN 241 9 1330
HARDIN 3474 303 23858
HARRIS 918193 21995 700630
HARRISON 7908 343 21466
HARTLEY 195 15 1868
HASKELL 353 21 1840
HAYS 59524 2191 47680
HEMPHILL 206 28 1486
HENDERSON 7060 346 28911
HIDALGO 128199 2158 90527
HILL 2860 145 11926
HOCKLEY 1482 82 6536
HOOD 5648 397 26496
HOPKINS 3046 176 12719
HOUSTON 2314 64 7060
HOWARD 2069 118 8054
HUDSPETH 371 15 779
HUNT 8906 528 29163
HUTCHINSON 965 127 7681
IRION 120 10 759
JACK 331 33 3418
JACKSON 1033 89 5231
JASPER 2954 115 12542
"JEFF DAVIS" 501 20 784
JEFFERSON 46073 1116 47570
"JIM HOGG" 1197 6 833
"JIM WELLS" 6119 97 7453
JOHNSON 16464 928 54628
JONES 999 82 5660
KARNES 1234 50 3968
KAUFMAN 18405 689 37624
KENDALL 6020 349 20083
KENEDY 65 2 127
KENT 47 4 411
KERR 6524 342 20879
KIMBLE 284 21 1987
KING 8 0 151
KINNEY 446 13 1144
KLEBERG 5314 126 5504
KNOX 265 11 1180
LAMAR 4458 224 16760
LAMB 840 49 3521
LAMPASAS 2144 169 8086
LASALLE 1052 19 1335
LAVACA 1333 60 8804
LEE 1750 82 6255
LEON 1072 79 7523
LIBERTY 5785 247 23302
LIMESTONE 2213 93 6789
LIPSCOMB 131 17 1205
"LIVE OAK" 819 36 4199
LLANO 2465 116 10079
LOVING 4 2 60
LUBBOCK 40017 1939 78861
LYNN 428 12 1853
MADISON 1088 41 4169
MARION 1339 55 3470
MARTIN 288 15 1857
MASON 457 26 1991
MATAGORDA 3733 149 9845
MAVERICK 8332 133 6881
MCCULLOCH 490 42 2904
MCLENNAN 36688 1641 59543
MCMULLEN 53 3 460
MEDINA 6773 242 15642
MENARD 197 8 823
MIDLAND 12329 906 45624
MILAM 2496 98 7984
MILLS 271 17 2217
MITCHELL 397 12 2170
MONTAGUE 1097 107 8615
MONTGOMERY 74377 3784 193382
MOORE 1062 87 4359
MORRIS 1669 46 3872
MOTLEY 46 2 604
NACOGDOCHES 9000 407 17378
NAVARRO 5101 222 13800
NEWTON 1173 39 4882
NOLAN 1162 64 4131
NUECES 60925 1780 64617
OCHILTREE 302 42 2812
OLDHAM 81 11 917
ORANGE 6357 451 29186
"PALO PINTO" 2178 132 10179
PANOLA 2057 68 9326
PARKER 13017 1066 62045
PARMER 488 27 2135
PECOS 1382 71 3215
POLK 5387 226 18573
POTTER 9921 596 22820
PRESIDIO 1463 33 721
RAINS 842 56 5155
RANDALL 12802 1076 50796
REAGAN 172 10 942
REAL 320 19 1643
"RED RIVER" 1246 43 4517
REEVES 1395 40 2254
REFUGIO 1108 48 2210
ROBERTS 17 4 529
ROBERTSON 2374 79 5646
ROCKWALL 16412 753 36726
RUNNELS 552 50 3807
RUSK 4629 214 16534
SABINE 669 38 4784
"SAN AUGUSTINE" 980 15 3007
"SAN JACINTO" 2337 142 10161
"SAN PATRICIO" 8988 387 16516
"SAN SABA" 287 7 2308
SCHLEICHER 211 8 940
SCURRY 818 69 4983
SHACKELFORD 130 14 1484
SHELBY 2068 44 7975
SHERMAN 91 15 886
SMITH 29615 1394 69080
SOMERVELL 768 74 4105
STARR 9123 155 8247
STEPHENS 397 18 3385
STERLING 51 4 584
STONEWALL 116 5 615
SUTTON 322 13 1222
SWISHER 478 32 1845
TARRANT 411567 13389 409741
TAYLOR 14588 1000 39547
TERRELL 119 5 334
TERRY 757 43 2812
THROCKMORTON 82 6 806
TITUS 2856 115 7570
"TOM GREEN" 12239 658 32313
