COUNTY DEM REP
COUNTY Suspense Non-Suspense
ANDERSON 2932 26342
ANDREWS 1256 9016
ANGELINA 4539 48627
ARANSAS 2272 16034
ARCHER 382 6156
ARMSTRONG 129 1369
ATASCOSA 2476 26933
AUSTIN 1684 18609
BAILEY 447 3092
BANDERA 1432 15666
BASTROP 4500 47596
BAYLOR 225 2183
BEE 1785 14248
BELL 36605 179369
BEXAR 141810 1047563
BLANCO 622 8722
BORDEN 28 471
BOSQUE 1166 11558
BOWIE 6234 55173
BRAZORIA 19105 205151
BRAZOS 15418 106719
BREWSTER 961 6563
BRISCOE 69 956
BROOKS 851 4670
BROWN 2290 21664
BURLESON 1000 11440
BURNET 2848 30849
CALDWELL 3516 22429
CALHOUN 1017 12063
CALLAHAN 792 8981
CAMERON 17884 201026
CAMP 812 7092
CARSON 331 4014
CASS 2199 18690
CASTRO 469 3384
CHAMBERS 1108 29601
CHEROKEE 2427 26739
CHILDRESS 244 3414
CLAY 614 7345
COCHRAN 170 1601
COKE 95 2319
COLEMAN 531 5429
COLLIN 64847 583823
COLLINGSWORTH 154 1788
COLORADO 905 13473
COMAL 9439 106437
COMANCHE 500 9062
CONCHO 153 1604
COOKE 2372 24896
CORYELL 4995 36455
COTTLE 104 937
CRANE 254 2409
CROCKETT 243 2230
CROSBY 301 3328
CULBERSON 201 1508
DALLAM 492 2554
DALLAS 142063 1256406
DAWSON 656 6448
"DEAF SMITH" 923 7977
DELTA 335 3614
DENTON 56289 508800
DEWITT 934 11160
DICKENS 2 1326
DIMMIT 830 6511
DONLEY 173 2149
DUVAL 582 7764
EASTLAND 1308 10922
ECTOR 8374 72498
EDWARDS 124 1375
ELLIS 9067 111121
"EL PASO" 51312 437158
ERATH 2139 21796
FALLS 1394 8967
FANNIN 1874 20325
FAYETTE 838 16560
FISHER 160 2486
FLOYD 399 3451
FOARD 107 777
"FORT BEND" 36795 445573
FRANKLIN 640 6421
FREESTONE 1062 11419
FRIO 934 8050
GAINES 910 8791
GALVESTON 26625 201857
GARZA 240 2441
GILLESPIE 1451 18953
GLASSCOCK 37 763
GOLIAD 463 5303
GONZALES 1096 11533
GRAY 1323 11083
GRAYSON 8569 78171
GREGG 8076 64791
GRIMES 1237 16640
GUADALUPE 10658 100484
HALE 2363 16634
HALL 229 1697
HAMILTON 433 5399
HANSFORD 262 2747
HARDEMAN 188 2298
HARDIN 689 39263
HARRIS 203489 2277033
HARRISON 5425 40508
HARTLEY 340 2569
HASKELL 337 3040
HAYS 18642 134198
HEMPHILL 163 2192
HENDERSON 5240 49423
HIDALGO 26273 365036
HILL 1638 21987
HOCKLEY 1308 12473
HOOD 3876 40955
HOPKINS 2118 21836
HOUSTON 1400 12044
HOWARD 2193 15333
HUDSPETH 58 2027
HUNT 6510 52857
HUTCHINSON 1443 12090
IRION 168 1130
JACK 506 4748
JACKSON 831 8651
JASPER 2020 21354
"JEFF DAVIS" 105 1565
JEFFERSON 16364 133008
"JIM HOGG" 425 3375
"JIM WELLS" 2147 24489
JOHNSON 9123 96451
JONES 147 9488
KARNES 641 7718
KAUFMAN 7718 74183
KENDALL 2415 31421
KENEDY 54 242
KENT 31 561
KERR 3168 34558
KIMBLE 215 2898
KING 10 173
KINNEY 192 2078
KLEBERG 2056 16693
KNOX 287 2104
LAMAR 3538 28852
LAMB 692 7393
LAMPASAS 1525 13899
LASALLE 341 4085
LAVACA 812 12849
LEE 768 10377
LEON 587 11140
LIBERTY 4524 41631
LIMESTONE 1371 12592
LIPSCOMB 204 1773
"LIVE OAK" 619 6953
LLANO 1471 15217
LOVING 17 94
LUBBOCK 24170 159150
LYNN 243 3785
MADISON 693 7129
MARION 740 6856
MARTIN 275 3192
MASON 180 2988
MATAGORDA 2792 19234
MAVERICK 1833 31217
MCCULLOCH 687 4674
MCLENNAN 16124 133337
MCMULLEN 47 659
MEDINA 2298 31465
MENARD 90 1379
MIDLAND 9592 80800
MILAM 1367 14471
MILLS 301 3128
MITCHELL 447 4077
MONTAGUE 1207 12794
MONTGOMERY 38136 331924
MOORE 991 9004
MORRIS 727 7856
MOTLEY 15 844
NACOGDOCHES 4118 34668
NAVARRO 2941 27018
NEWTON 774 8626
NOLAN 917 7954
NUECES 27210 184442
OCHILTREE 560 4632
OLDHAM 147 1278
ORANGE 5113 49329
"PALO PINTO" 1934 17012
PANOLA 1318 15490
PARKER 10078 93921
PARMER 253 4284
PECOS 588 7735
POLK 4612 35908
POTTER 7979 49757
PRESIDIO 1034 3755
RAINS 707 7613
RANDALL 9710 83603
REAGAN 183 1696
REAL 181 2521
"RED RIVER" 701 7788
REEVES 473 7085
REFUGIO 458 4549
ROBERTS 32 648
ROBERTSON 777 11067
ROCKWALL 4153 66949
RUNNELS 806 6219
RUSK 3379 29009
SABINE 662 7388
"SAN AUGUSTINE" 456 5652
"SAN JACINTO" 1436 17533
"SAN PATRICIO" 4678 38570
"SAN SABA" 343 3433
SCHLEICHER 172 1537
SCURRY 952 8537
SHACKELFORD 205 2115
SHELBY 1247 14323
SHERMAN 169 1351
SMITH 11095 135054
SOMERVELL 510 6202
STARR 1030 33020
STEPHENS 617 5055
STERLING 28 911
STONEWALL 14 939
SUTTON 293 2156
SWISHER 469 3472
TARRANT 140116 1072408
TAYLOR 11487 72209
TERRELL 33 640
TERRY 810 5779
THROCKMORTON 97 1119
TITUS 1837 15829
"TOM GREEN" 8875 61211
TRAVIS 82225 772352
TRINITY 490 11051
TYLER 1514 13042
UPSHUR 3115 25504
UPTON 212 1995
UVALDE 1551 15869
"VAL VERDE" 3566 25361
"VAN ZANDT" 4007 34958
VICTORIA 6065 50547
WALKER 3554 31484
WALLER 3344 31772
WARD 621 6259
WASHINGTON 1852 22095
WEBB 10223 127617
WHARTON 1808 23889
WHEELER 413 3101
WICHITA 16449 67126
WILBARGER 789 7407
WILLACY 2169 10635
WILLIAMSON 38128 338544
WILSON 2387 32649
WINKLER 347 3666
WISE 3228 42415
WOOD 2872 29510
YOAKUM 383 4024
YOUNG 1099 10670
ZAPATA 953 7304
ZAVALA 620 7446
