County REP DEM LIB
COUNTY Cruz O'Rourke Dikeman
ANDERSON 11335 3307 94
ANDREWS 3338 776 17
ANGELINA 19166 7130 153
ARANSAS 6677 2247 56
ARCHER 3208 376 18
ARMSTRONG 819 74 6
ATASCOSA 7753 4332 119
AUSTIN 8722 2241 84
BAILEY 1204 405 7
BANDERA 7643 1865 76
BASTROP 15067 12082 312
BAYLOR 1070 156 9
BEE 4342 2811 64
BELL 47437 38417 723
BEXAR 217600 326946 5024
BLANCO 4181 1570 57
BORDEN 320 22 1
BOSQUE 5718 1374 63
BOWIE 20157 7982 182
BRAZORIA 65693 45228 832
BRAZOS 35971 27876 640
BREWSTER 1879 2147 60
BRISCOE 553 69 2
BROOKS 543 1376 4
BROWN 10391 1670 71
BURLESON 5079 1427 45
BURNET 13859 4444 187
CALDWELL 6147 5227 107
CALHOUN 4198 1874 47
CALLAHAN 4373 610 40
CAMERON 28574 48770 568
CAMP 2749 1119 24
CARSON 2192 245 22
CASS 8148 2024 45
CASTRO 1219 394 10
CHAMBERS 12146 2926 109
CHEROKEE 11631 3207 103
CHILDRESS 1526 236 8
CLAY 3710 547 31
COCHRAN 541 140 5
COKE 1150 137 10
COLEMAN 2759 351 16
COLLIN 187425 165614 2927
COLLINGSWORTH 810 113 5
COLORADO 5779 1825 33
COMAL 44079 16830 586
COMANCHE 3799 781 30
CONCHO 803 163 14
COOKE 11879 2550 111
CORYELL 10626 5067 170
COTTLE 458 97 2
CRANE 836 213 6
CROCKETT 928 340 8
CROSBY 978 437 7
CULBERSON 297 521 9
DALLAM 970 139 6
DALLAS 241126 481395 5368
DAWSON 2192 811 12
"DEAF SMITH" 2680 1067 28
DELTA 1562 354 16
DENTON 158744 134649 2409
DEWITT 4974 1128 29
DICKENS 635 113 6
DIMMIT 840 2042 12
DONLEY 1110 161 8
DUVAL 1330 2765 18
EASTLAND 5377 800 28
ECTOR 20996 9230 248
EDWARDS 604 145 8
ELLIS 41022 19106 461
"EL PASO" 50943 151482 1189
ERATH 10055 2486 84
FALLS 3215 1445 20
FANNIN 8569 2107 74
FAYETTE 8228 2198 53
FISHER 1139 340 15
FLOYD 1394 476 9
FOARD 321 113 1
"FORT BEND" 111423 142399 1616
FRANKLIN 3300 639 35
FREESTONE 5243 1279 40
FRIO 1636 2016 28
GAINES 3317 513 19
GALVESTON 67641 45065 916
GARZA 1068 203 16
GILLESPIE 9890 2572 81
GLASSCOCK 513 37 4
GOLIAD 2326 717 29
GONZALES 4173 1421 31
GRAY 5246 615 40
GRAYSON 31655 11157 332
GREGG 24569 11133 234
GRIMES 6499 2037 71
GUADALUPE 33938 20079 554
HALE 5360 1970 62
HALL 807 161 3
HAMILTON 2795 507 28
HANSFORD 1552 138 20
HARDEMAN 973 185 4
HARDIN 17391 2636 71
HARRIS 498902 700200 8652
HARRISON 16226 6245 122
HARTLEY 1467 153 4
HASKELL 1362 302 10
HAYS 33308 45584 854
HEMPHILL 1209 157 9
HENDERSON 20891 5415 205
HIDALGO 46505 104416 834
HILL 8927 2443 63
HOCKLEY 4844 1211 39
HOOD 20090 4720 195
HOPKINS 9306 2545 69
HOUSTON 5552 1772 36
HOWARD 5651 1693 60
HUDSPETH 509 407 17
HUNT 21115 7151 222
HUTCHINSON 5854 753 35
IRION 636 96 6
JACK 2498 296 19
JACKSON 3991 832 17
JASPER 9504 2282 47
"JEFF DAVIS" 683 466 28
JEFFERSON 36731 37128 380
"JIM HOGG" 410 1060 8
"JIM WELLS" 4520 5331 49
JOHNSON 39571 12411 454
JONES 4115 832 37
KARNES 2900 1203 33
KAUFMAN 26118 12002 252
KENDALL 15292 4340 164
KENEDY 100 77 3
KENT 288 44 5
KERR 16822 5198 185
KIMBLE 1495 195 14
KING 124 6 1
KINNEY 827 358 14
KLEBERG 4081 4456 59
KNOX 855 229 9
LAMAR 12711 3731 126
LAMB 2741 699 17
LAMPASAS 5836 1569 65
LASALLE 673 813 3
LAVACA 6688 1019 30
LEE 4487 1322 38
LEON 5711 855 23
LIBERTY 16041 4421 114
LIMESTONE 5211 1672 33
LIPSCOMB 942 116 9
"LIVE OAK" 3029 601 21
LLANO 7954 2124 76
LOVING 47 6 1
LUBBOCK 58780 32068 731
LYNN 1369 323 5
MADISON 3033 780 18
MARION 2448 1018 31
MARTIN 1297 243 14
MASON 1560 402 5
MATAGORDA 7330 3049 78
MAVERICK 2951 7727 98
MCCULLOCH 2245 400 26
MCLENNAN 45855 28452 568
MCMULLEN 387 41 2
MEDINA 11444 4621 114
MENARD 632 145 6
MIDLAND 32867 9723 365
MILAM 5922 1997 68
MILLS 1764 229 11
MITCHELL 1585 323 5
MONTAGUE 6424 941 56
MONTGOMERY 137395 51268 1433
MOORE 3248 787 25
MORRIS 2953 1260 21
MOTLEY 483 40 4
NACOGDOCHES 13775 7732 126
NAVARRO 10391 3918 107
NEWTON 3660 993 23
NOLAN 3120 928 26
NUECES 45956 47392 719
OCHILTREE 2160 230 25
OLDHAM 732 82 2
ORANGE 21164 5050 118
"PALO PINTO" 7547 1837 46
PANOLA 7120 1598 31
PARKER 44071 9956 468
PARMER 1675 372 10
PECOS 2161 1339 20
POLK 12794 3850 106
POTTER 16689 7521 214
PRESIDIO 436 1221 10
RAINS 3702 681 23
RANDALL 38479 9613 363
REAGAN 692 136 6
REAL 1311 245 8
"RED RIVER" 3427 973 18
REEVES 1128 1255 15
REFUGIO 1636 847 9
ROBERTS 441 19 0
ROBERTSON 4295 1942 31
ROCKWALL 26615 11754 330
RUNNELS 2842 385 7
RUSK 12597 3609 76
SABINE 3456 496 15
"SAN AUGUSTINE" 2266 734 16
"SAN JACINTO" 7499 1785 55
"SAN PATRICIO" 11335 6777 107
"SAN SABA" 1811 247 11
SCHLEICHER 735 209 8
SCURRY 3705 642 16
SHACKELFORD 1174 103 4
SHELBY 6008 1521 32
SHERMAN 692 87 43
SMITH 53760 23182 458
SOMERVELL 3033 633 25
STARR 2443 8273 68
STEPHENS 2631 324 13
STERLING 442 44 0
STONEWALL 497 112 5
SUTTON 934 265 7
SWISHER 1461 420 14
TARRANT 309189 313497 5208
TAYLOR 29811 10489 357
TERRELL 323 139 5
TERRY 2169 629 15
THROCKMORTON 617 77 9
TITUS 5685 2265 55
"TOM GREEN" 24648 9690 292
TRAVIS 119278 359772 5154
TRINITY 4146 998 31
TYLER 5919 1185 35
UPSHUR 11529 2364 91
UPTON 854 169 8
UVALDE 4348 3528 59
"VAL VERDE" 5345 5955 105
"VAN ZANDT" 15182 2634 116
VICTORIA 19005 8046 157
WALKER 11535 6186 132
WALLER 10167 6335 101
WARD 2096 800 24
WASHINGTON 10134 3263 95
WEBB 13814 35159 408
WHARTON 9094 3793 55
WHEELER 1679 125 6
WICHITA 23648 9971 299
WILBARGER 2639 776 24
WILLACY 1527 2773 25
WILLIAMSON 99857 105850 2514
WILSON 13025 4567 127
WINKLER 1123 321 11
WISE 19023 3915 179
WOOD 13987 2635 118
YOAKUM 1558 335 10
YOUNG 5543 821 41
ZAPATA 821 1392 10
ZAVALA 589 2313 15
