COUNTY DEM OTH REP
COUNTY Hegar OTH Cornyn
ANDERSON 3792 337 14943
ANDREWS 779 127 4894
ANGELINA 8771 622 24962
ARANSAS 2729 246 9189
ARCHER 467 79 4178
ARMSTRONG 64 10 1025
ATASCOSA 5588 402 11906
AUSTIN 2752 275 11454
BAILEY 383 39 1400
BANDERA 2291 289 9957
BASTROP 15071 967 20468
BAYLOR 177 39 1462
BEE 3103 239 5713
BELL 54413 3457 68934
BEXAR 411328 21564 320095
BLANCO 1816 135 5457
BORDEN 18 3 390
BOSQUE 1490 182 7367
BOWIE 10406 617 26908
BRAZORIA 58759 3903 90705
BRAZOS 32098 2717 49346
BREWSTER 2167 152 2453
BRISCOE 79 11 625
BROOKS 1425 72 859
BROWN 1965 308 13482
BURLESON 1709 184 6596
BURNET 5323 530 18687
CALDWELL 6449 387 8044
CALHOUN 2092 122 5531
CALLAHAN 680 147 5892
CAMERON 61508 3233 46482
CAMP 1359 80 3597
CARSON 286 71 2756
CASS 2672 345 10796
CASTRO 432 37 1572
CHAMBERS 3786 530 17037
CHEROKEE 4058 328 14945
CHILDRESS 283 40 1936
CLAY 632 108 4958
COCHRAN 183 30 765
COKE 171 26 1557
COLEMAN 426 53 3586
COLLIN 207005 11227 263074
COLLINGSWORTH 145 15 1032
COLORADO 2362 161 7367
COMAL 22552 2173 63545
COMANCHE 831 120 5053
CONCHO 193 25 1029
COOKE 2999 362 15516
CORYELL 7118 759 15372
COTTLE 110 12 534
CRANE 229 37 1213
CROCKETT 314 33 1146
CROSBY 486 39 1356
CULBERSON 385 26 367
DALLAM 200 26 1369
DALLAS 560603 24207 330851
DAWSON 738 76 2827
"DEAF SMITH" 1151 109 3273
DELTA 370 53 2111
DENTON 170984 11202 231025
DEWITT 1384 104 6399
DICKENS 133 17 808
DIMMIT 2122 72 1274
DONLEY 181 26 1418
DUVAL 2458 174 1787
EASTLAND 910 164 7015
ECTOR 10682 1179 31711
EDWARDS 144 18 824
"EL PASO" 164931 14298 80021
ELLIS 25780 2181 57078
ERATH 2707 437 13564
FALLS 1787 95 4157
FANNIN 2559 354 11836
FAYETTE 2634 174 10056
FISHER 351 35 1418
FLOYD 397 39 1554
FOARD 107 8 404
"FORT BEND" 178984 7478 160977
FRANKLIN 753 75 4114
FREESTONE 1553 166 6838
FRIO 2283 149 2489
GAINES 548 94 5118
GALVESTON 55094 3975 94317
GARZA 225 18 1374
GILLESPIE 2996 240 12543
GLASSCOCK 35 8 603
GOLIAD 840 69 3000
GONZALES 1782 132 5617
GRAY 774 209 6705
GRAYSON 13938 1301 43735
GREGG 14025 992 32467
GRIMES 2678 259 9338
GUADALUPE 26697 1976 48308
HALE 2155 222 6999
HALL 156 17 967
HAMILTON 594 126 3574
HANSFORD 158 26 1844
HARDEMAN 232 10 1313
HARDIN 3388 480 23516
HARRIS 854158 42139 718228
HARRISON 7612 541 21231
HARTLEY 176 37 1859
HASKELL 347 28 1808
HAYS 55597 3410 49539
HEMPHILL 197 31 1465
HENDERSON 6672 707 28717
HIDALGO 116962 8237 84284
HILL 2688 294 11845
HOCKLEY 1384 155 6449
HOOD 5228 700 26253
HOPKINS 2833 317 12497
HOUSTON 2230 120 6984
HOWARD 1959 238 7854
HUDSPETH 383 38 680
HUNT 8319 851 28888
HUTCHINSON 900 218 7575
IRION 111 9 760
JACK 319 59 3322
JACKSON 1021 121 5167
JASPER 2851 226 12312
"JEFF DAVIS" 483 36 767
JEFFERSON 44112 1886 46928
"JIM HOGG" 1136 56 652
"JIM WELLS" 6025 278 6957
JOHNSON 15474 1586 54403
JONES 967 108 5546
KARNES 1178 78 3833
KAUFMAN 17507 1315 37649
KENDALL 5335 473 20584
KENEDY 57 5 107
KENT 53 6 386
KERR 5946 575 21022
KIMBLE 254 37 1962
KING 5 0 149
KINNEY 395 43 1070
KLEBERG 5067 267 5374
KNOX 263 21 1147
LAMAR 4295 394 16476
LAMB 802 99 3469
LAMPASAS 1978 250 8102
LASALLE 1005 60 1082
LAVACA 1305 134 8599
LEE 1689 132 6211
LEON 1028 143 7421
LIBERTY 5662 604 22743
LIMESTONE 2112 199 6656
LIPSCOMB 117 26 1181
"LIVE OAK" 790 69 4122
LLANO 2331 218 10047
LOVING 5 2 58
LUBBOCK 36319 3726 79459
LYNN 411 35 1817
MADISON 1030 75 4118
MARION 1276 102 3380
MARTIN 263 38 1811
MASON 443 32 1980
MATAGORDA 3551 284 9647
MAVERICK 7956 625 5708
MCCULLOCH 460 82 2843
MCLENNAN 33439 2654 60036
MCMULLEN 43 3 454
MEDINA 6207 411 15594
MENARD 189 14 797
MIDLAND 11417 1378 45733
MILAM 2382 190 7759
MILLS 252 39 2196
MITCHELL 359 52 2129
MONTAGUE 1051 182 8526
MONTGOMERY 68254 6056 194528
MOORE 999 134 4314
MORRIS 1639 89 3753
MOTLEY 44 3 591
NACOGDOCHES 8487 642 17370
NAVARRO 4821 440 13701
NEWTON 1163 70 4784
NOLAN 1077 102 4102
NUECES 57180 3576 64558
OCHILTREE 278 45 2783
OLDHAM 74 14 908
ORANGE 6249 724 28720
"PALO PINTO" 2028 301 9999
PANOLA 2015 143 9145
PARKER 11919 1896 61705
PARMER 454 41 2132
PECOS 1376 112 3081
POLK 5237 559 17735
POTTER 9168 985 22683
PRESIDIO 1374 66 651
RAINS 789 107 5060
RANDALL 11618 1588 51116
REAGAN 154 22 893
REAL 286 27 1626
"RED RIVER" 1191 89 4452
REEVES 1337 116 1983
REFUGIO 1023 77 2073
ROBERTS 15 4 526
ROBERTSON 2244 155 5590
ROCKWALL 15009 1189 37584
RUNNELS 515 91 3722
RUSK 4455 357 16367
SABINE 688 71 4678
"SAN AUGUSTINE" 928 51 2898
"SAN JACINTO" 2268 287 9808
"SAN PATRICIO" 8494 648 16174
"SAN SABA" 270 12 2218
SCHLEICHER 191 14 927
SCURRY 805 122 4870
SHACKELFORD 115 17 1475
SHELBY 2022 102 7868
SHERMAN 88 10 889
SMITH 28385 1928 69574
SOMERVELL 712 106 4103
STARR 8161 745 5845
STEPHENS 374 49 3312
STERLING 47 7 567
STONEWALL 122 6 586
SUTTON 305 20 1204
SWISHER 464 60 1795
TARRANT 382408 22591 423117
TAYLOR 13074 1522 39887
TERRELL 116 10 324
TERRY 714 79 2731
THROCKMORTON 76 10 788
TITUS 2748 202 7426
"TOM GREEN" 11371 1112 32340
TRAVIS 408528 16221 175860
TRINITY 1258 109 5445
TYLER 1400 207 7916
UPSHUR 2804 379 15470
UPTON 160 29 1147
UVALDE 3821 293 5968
"VAL VERDE" 6430 435 8103
"VAN ZANDT" 3374 398 22010
VICTORIA 9834 714 23144
WALKER 7414 583 15480
WALLER 7725 514 14219
WARD 725 78 3138
WASHINGTON 4017 275 12988
WEBB 40822 2418 23153
WHARTON 4513 276 11832
WHEELER 165 37 2079
WICHITA 12399 1256 31626
WILBARGER 874 72 3473
WILLACY 2968 138 2183
